# M1939-0 Flight Profile (Up to date)
# 992 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (86.6 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.238,NaN
0.02,-3.585e-4,-0.072,NaN
0.03,4.737e-4,0.095,NaN
0.04,0.003,0.356,NaN
0.05,0.008,0.784,NaN
0.06,0.019,1.378,NaN
0.07,0.037,2.14,NaN
0.08,0.063,3.068,NaN
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.099,4.162,NaN
0.1,0.147,5.424,NaN
0.11,0.208,6.853,NaN
0.12,0.285,8.448,NaN
0.13,0.378,10.211,NaN
0.14,0.49,12.112,NaN
0.15,0.62,14.031,NaN
0.16,0.77,15.956,NaN
0.17,0.94,17.887,NaN
0.18,1.128,19.824,NaN
0.19,1.336,21.767,NaN
0.2,1.564,23.716,NaN
0.21,1.81,25.67,NaN
0.22,2.077,27.63,NaN
0.23,2.363,29.596,NaN
0.24,2.669,31.568,NaN
0.25,2.994,33.546,NaN
0.26,3.34,35.53,NaN
0.27,3.705,37.519,NaN
0.28,4.09,39.514,NaN
0.29,4.495,41.515,NaN
0.3,4.921,43.522,NaN
0.31,5.366,45.535,NaN
0.32,5.831,47.553,NaN
0.33,6.317,49.577,NaN
0.34,6.823,51.607,NaN
0.35,7.349,53.643,NaN
0.36,7.896,55.685,NaN
0.37,8.463,57.733,NaN
0.38,9.05,59.786,NaN
0.39,9.659,61.845,NaN
0.4,10.287,63.91,NaN
0.41,10.937,65.98,NaN
0.42,11.607,68.055,NaN
0.43,12.298,70.134,NaN
0.44,13.01,72.217,NaN
0.45,13.742,74.304,NaN
0.46,14.496,76.395,NaN
0.47,15.27,78.49,NaN
0.48,16.066,80.59,NaN
0.49,16.882,82.693,NaN
# Event LAUNCHROD occurred at t=0.5 seconds
0.5,17.72,84.8,NaN
0.515,19.015,87.968,3.513
0.538,21.048,92.737,3.519
0.571,24.299,99.927,3.529
0.621,29.564,110.663,3.544
0.671,35.368,121.5,3.558
0.721,41.716,132.431,3.573
0.771,48.613,143.448,3.589
0.821,56.063,154.549,3.604
0.871,64.07,165.735,3.62
0.921,72.638,177.004,3.636
0.971,81.772,188.355,3.652
1.021,91.475,199.768,3.668
1.071,101.75,211.24,3.685
1.121,112.601,222.768,3.702
1.171,124.029,234.353,3.719
1.221,136.037,245.993,3.737
1.271,148.629,257.679,3.754
1.321,161.806,269.399,3.772
1.371,175.57,281.151,3.791
1.421,189.922,292.934,3.809
1.471,204.864,304.748,3.827
1.521,220.397,316.591,3.846
1.571,236.523,328.449,3.865
1.621,253.242,340.322,3.884
1.671,270.556,352.207,3.904
1.721,288.463,364.104,3.923
1.771,306.966,376.011,3.943
1.821,326.065,387.923,3.962
1.871,345.759,399.834,3.983
1.921,366.048,411.744,4.003
1.971,386.933,423.652,4.023
2.021,408.413,435.555,4.044
2.071,430.488,447.453,4.065
2.121,453.158,459.338,4.086
2.171,476.422,471.21,4.108
2.221,500.279,483.067,4.129
2.271,524.728,494.908,4.151
2.321,549.769,506.732,4.172
2.371,575.401,518.531,4.195
2.421,601.622,530.298,4.217
2.471,628.43,542.033,4.239
2.521,655.824,553.735,4.262
2.571,683.803,565.401,4.285
2.621,712.364,577.023,4.308
2.671,741.504,588.569,4.331
2.721,771.219,600.037,4.355
2.771,801.505,611.426,4.379
2.821,832.36,622.734,4.403
2.871,863.777,633.958,4.427
2.921,895.752,645.039,4.452
2.971,928.277,655.949,4.476
3.021,961.343,666.687,4.501
3.071,994.941,677.252,4.525
3.121,1029.064,687.644,4.55
3.171,1063.702,697.855,4.575
3.221,1098.845,707.874,4.599
3.271,1134.484,717.699,4.623
3.321,1170.61,727.329,4.648
3.371,1207.213,736.764,4.672
3.421,1244.282,746.004,4.697
3.471,1281.809,755.067,4.72
