# M1939-0 Flight Profile 10 degree (Up to date)
# 979 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (129 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.23,NaN
0.02,-3.29e-4,-0.066,NaN
0.03,4.906e-4,0.098,NaN
0.04,0.003,0.36,NaN
0.05,0.009,0.786,NaN
0.06,0.019,1.377,NaN
0.07,0.037,2.131,NaN
0.08,0.063,3.05,NaN
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.099,4.133,NaN
0.1,0.146,5.38,NaN
0.11,0.207,6.792,NaN
0.12,0.283,8.368,NaN
0.13,0.375,10.109,NaN
0.14,0.486,11.985,NaN
0.15,0.615,13.88,NaN
0.16,0.763,15.781,NaN
0.17,0.931,17.688,NaN
0.18,1.117,19.6,NaN
0.19,1.323,21.518,NaN
0.2,1.548,23.442,NaN
0.21,1.792,25.371,NaN
0.22,2.055,27.307,NaN
0.23,2.338,29.248,NaN
0.24,2.64,31.194,NaN
0.25,2.962,33.147,NaN
0.26,3.303,35.105,NaN
0.27,3.664,37.069,NaN
0.28,4.044,39.039,NaN
0.29,4.445,41.014,NaN
0.3,4.865,42.995,NaN
0.31,5.305,44.982,NaN
0.32,5.764,46.975,NaN
0.33,6.244,48.973,NaN
0.34,6.744,50.977,NaN
0.35,7.264,52.987,NaN
0.36,7.804,55.002,NaN
0.37,8.364,57.023,NaN
0.38,8.944,59.05,NaN
0.39,9.545,61.083,NaN
0.4,10.166,63.121,NaN
0.41,10.807,65.165,NaN
0.42,11.469,67.213,NaN
0.43,12.151,69.265,NaN
0.44,12.854,71.321,NaN
0.45,13.578,73.381,NaN
0.46,14.322,75.445,NaN
0.47,15.087,77.513,NaN
0.48,15.872,79.585,NaN
0.49,16.679,81.661,NaN
# Event LAUNCHROD occurred at t=0.5 seconds
0.5,17.506,83.741,NaN
0.515,18.785,86.854,3.496
0.538,20.792,91.539,3.479
0.571,24.001,98.604,3.459
0.621,29.194,109.152,3.437
0.671,34.918,119.801,3.423
0.721,41.177,130.542,3.416
0.771,47.974,141.368,3.415
0.821,55.315,152.277,3.418
0.871,63.204,163.269,3.425
0.921,71.644,174.343,3.437
0.971,80.64,185.496,3.453
1.021,90.195,196.709,3.474
1.071,100.312,207.978,3.498
1.121,110.994,219.301,3.526
1.171,122.244,230.675,3.559
1.221,134.063,242.1,3.595
1.271,146.455,253.566,3.634
1.321,159.42,265.058,3.677
