# M1939-0 Flight Profile 20 mph (Up to date)
# 1046 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (68 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.238,NaN
0.02,-3.585e-4,-0.072,NaN
0.03,4.737e-4,0.095,NaN
0.04,0.003,0.356,NaN
0.05,0.008,0.784,NaN
0.06,0.019,1.378,NaN
0.07,0.037,2.14,NaN
0.08,0.063,3.068,NaN
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.099,4.162,NaN
0.1,0.147,5.424,NaN
0.11,0.208,6.853,NaN
0.12,0.285,8.448,NaN
0.13,0.378,10.211,NaN
0.14,0.49,12.112,NaN
0.15,0.62,14.031,NaN
0.16,0.77,15.957,NaN
0.17,0.94,17.888,NaN
0.18,1.128,19.825,NaN
0.19,1.336,21.767,NaN
0.2,1.564,23.716,NaN
0.21,1.81,25.67,NaN
0.22,2.077,27.63,NaN
0.23,2.363,29.596,NaN
0.24,2.669,31.568,NaN
0.25,2.995,33.545,NaN
0.26,3.34,35.529,NaN
0.27,3.705,37.518,NaN
0.28,4.09,39.512,NaN
0.29,4.495,41.513,NaN
0.3,4.921,43.519,NaN
0.31,5.366,45.531,NaN
0.32,5.831,47.549,NaN
0.33,6.317,49.572,NaN
0.34,6.823,51.602,NaN
0.35,7.349,53.637,NaN
0.36,7.895,55.677,NaN
0.37,8.462,57.724,NaN
0.38,9.05,59.776,NaN
0.39,9.658,61.834,NaN
0.4,10.287,63.898,NaN
0.41,10.936,65.967,NaN
0.42,11.606,68.041,NaN
0.43,12.297,70.118,NaN
0.44,13.008,72.2,NaN
0.45,13.741,74.285,NaN
0.46,14.494,76.374,NaN
0.47,15.268,78.468,NaN
0.48,16.063,80.565,NaN
0.49,16.88,82.666,NaN
# Event LAUNCHROD occurred at t=0.5 seconds
0.5,17.717,84.771,NaN
0.515,19.012,87.936,0.938
0.538,21.044,92.7,0.986
0.571,24.294,99.883,1.069
0.621,29.556,110.606,1.209
0.671,35.357,121.43,1.363
0.721,41.701,132.348,1.548
0.771,48.594,143.353,1.729
0.821,56.039,154.444,1.846
0.871,64.04,165.62,1.943
0.921,72.603,176.879,2.119
0.971,81.73,188.22,2.361
1.021,91.426,199.623,2.555
1.071,101.694,211.08,2.813
1.121,112.535,222.587,3.068
1.171,123.954,234.138,3.227
1.221,135.95,245.73,3.393
1.271,148.527,257.348,3.631
1.321,161.685,268.972,3.649
1.371,175.425,280.596,3.471
1.421,189.745,292.215,3.37
1.471,204.646,303.828,3.276
1.521,220.128,315.427,3.19
1.571,236.189,327.005,3.142
1.621,252.828,338.564,3.127
1.671,270.045,350.116,3.166
1.721,287.84,361.674,3.236
1.771,306.213,373.251,3.35
1.821,325.166,384.859,3.483
1.871,344.699,396.498,3.672
1.921,364.816,408.185,3.935
1.971,385.518,419.913,3.898
2.021,406.808,431.673,3.767
2.071,428.686,443.457,3.695
2.121,451.154,455.246,3.691
2.171,474.211,467.03,3.715
2.221,497.856,478.799,3.777
2.271,522.09,490.542,3.888
2.321,546.91,502.247,4.026
2.371,572.314,513.896,4.195
2.421,598.298,525.477,4.097
2.471,624.86,536.994,4.066
2.521,651.997,548.457,4.098
2.571,679.705,559.883,4.131
2.621,707.984,571.252,4.139
2.671,736.829,582.55,4.205
2.721,766.237,593.788,4.269
2.771,796.206,604.96,4.333
2.821,826.732,616.079,4.369
2.871,857.812,627.142,4.342
2.921,889.443,638.077,4.323
2.971,921.617,648.864,4.297
3.021,954.325,659.483,4.349
3.071,987.56,669.907,4.481
3.121,1021.311,680.112,4.484
3.171,1055.567,690.103,4.471
3.221,1090.317,699.894,4.503
3.271,1125.552,709.493,4.552
3.321,1161.262,718.911,4.584
3.371,1197.438,728.135,4.611
3.421,1234.071,737.185,4.682
3.471,1271.153,746.089,4.691
