# M1939-0 Flight Profile 25 mph (Up to date)
# 1070 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (77.2 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.238,NaN
0.02,-3.585e-4,-0.072,NaN
0.03,4.737e-4,0.095,NaN
0.04,0.003,0.356,NaN
0.05,0.008,0.784,NaN
0.06,0.019,1.378,NaN
0.07,0.037,2.14,NaN
0.08,0.063,3.068,NaN
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.099,4.162,NaN
0.1,0.147,5.424,NaN
0.11,0.208,6.853,NaN
0.12,0.285,8.448,NaN
0.13,0.378,10.211,NaN
0.14,0.49,12.112,NaN
0.15,0.62,14.031,NaN
0.16,0.77,15.957,NaN
0.17,0.94,17.888,NaN
0.18,1.128,19.825,NaN
0.19,1.336,21.768,NaN
0.2,1.564,23.716,NaN
0.21,1.81,25.671,NaN
0.22,2.077,27.631,NaN
0.23,2.363,29.597,NaN
0.24,2.669,31.569,NaN
0.25,2.995,33.546,NaN
0.26,3.34,35.53,NaN
0.27,3.705,37.519,NaN
0.28,4.09,39.514,NaN
0.29,4.495,41.514,NaN
0.3,4.921,43.521,NaN
0.31,5.366,45.533,NaN
0.32,5.831,47.551,NaN
0.33,6.317,49.575,NaN
0.34,6.823,51.604,NaN
0.35,7.349,53.639,NaN
0.36,7.896,55.68,NaN
0.37,8.463,57.726,NaN
0.38,9.05,59.779,NaN
0.39,9.658,61.837,NaN
0.4,10.287,63.9,NaN
0.41,10.936,65.97,NaN
0.42,11.606,68.043,NaN
0.43,12.297,70.121,NaN
0.44,13.009,72.202,NaN
0.45,13.741,74.287,NaN
0.46,14.495,76.377,NaN
0.47,15.269,78.47,NaN
0.48,16.064,80.567,NaN
0.49,16.88,82.668,NaN
# Event LAUNCHROD occurred at t=0.5 seconds
0.5,17.717,84.773,NaN
0.515,19.013,87.937,0.449
0.538,21.045,92.7,0.541
0.571,24.295,99.881,0.62
0.621,29.556,110.6,0.736
0.671,35.357,121.418,0.899
0.721,41.7,132.329,0.999
0.771,48.592,143.324,1.132
0.821,56.035,154.406,1.338
0.871,64.034,165.574,1.517
0.921,72.594,176.829,1.737
0.971,81.719,188.167,1.959
1.021,91.412,199.567,2.179
1.071,101.677,211.022,2.483
1.121,112.516,222.526,2.786
1.171,123.931,234.07,3.107
1.221,135.924,245.645,3.478
1.271,148.496,257.234,3.669
1.321,161.647,268.817,3.508
1.371,175.378,280.392,3.427
1.421,189.686,291.956,3.382
1.471,204.573,303.506,3.346
1.521,220.037,315.038,3.279
1.571,236.077,326.534,3.21
1.621,252.69,338,3.179
1.671,269.876,349.438,3.149
1.721,287.634,360.858,3.181
1.771,305.962,372.289,3.273
1.821,324.863,383.738,3.385
1.871,344.337,395.221,3.512
1.921,364.385,406.74,3.674
1.971,385.012,418.316,3.907
2.021,406.218,429.944,4.044
2.071,428.007,441.601,3.993
2.121,450.379,453.289,3.881
2.171,473.336,465.001,3.786
2.221,496.879,476.733,3.715
2.271,521.009,488.468,3.694
2.318,544.201,499.48,3.723
2.364,567.13,510.106,3.789
2.413,592.343,521.497,3.896
2.463,618.707,533.072,4.122
2.513,645.648,544.551,4.203
2.563,673.161,555.933,4.097
2.613,701.239,567.211,4.023
2.663,729.879,578.369,3.993
2.705,754.805,587.82,3.988
2.744,777.478,596.242,4.062
2.788,804.044,605.942,4.214
2.838,834.615,616.901,4.327
2.888,865.733,627.813,4.429
2.938,897.393,638.62,4.321
2.988,929.592,649.318,4.256
3.035,960.278,659.224,4.25
3.075,987.016,667.621,4.275
3.115,1013.937,675.854,4.336
3.162,1045.819,685.303,4.467
3.212,1080.33,695.134,4.535
3.262,1115.326,704.696,4.446
3.311,1150.431,713.904,4.375
3.342,1172.687,719.554,4.34
3.368,1191.306,724.19,4.381
