# M1939-0 Flight Profile 5 degree (Up to date)
# 986 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (86.5 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.236,NaN
0.02,-3.511e-4,-0.07,NaN
0.03,4.78e-4,0.096,NaN
0.04,0.003,0.357,NaN
0.05,0.008,0.785,NaN
0.06,0.019,1.378,NaN
0.07,0.037,2.138,NaN
0.08,0.063,3.063,NaN
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.099,4.155,NaN
0.1,0.147,5.413,NaN
0.11,0.208,6.838,NaN
0.12,0.284,8.428,NaN
0.13,0.377,10.185,NaN
0.14,0.489,12.08,NaN
0.15,0.619,13.994,NaN
0.16,0.769,15.913,NaN
0.17,0.937,17.838,NaN
0.18,1.125,19.768,NaN
0.19,1.333,21.705,NaN
0.2,1.56,23.647,NaN
0.21,1.806,25.596,NaN
0.22,2.071,27.55,NaN
0.23,2.357,29.509,NaN
0.24,2.662,31.475,NaN
0.25,2.986,33.446,NaN
0.26,3.331,35.424,NaN
0.27,3.695,37.407,NaN
0.28,4.079,39.395,NaN
0.29,4.483,41.39,NaN
0.3,4.907,43.39,NaN
0.31,5.351,45.397,NaN
0.32,5.815,47.409,NaN
0.33,6.299,49.426,NaN
0.34,6.803,51.45,NaN
0.35,7.328,53.479,NaN
0.36,7.873,55.514,NaN
0.37,8.438,57.555,NaN
0.38,9.024,59.602,NaN
0.39,9.63,61.654,NaN
0.4,10.257,63.713,NaN
0.41,10.904,65.777,NaN
0.42,11.573,67.845,NaN
0.43,12.261,69.917,NaN
0.44,12.971,71.993,NaN
0.45,13.701,74.074,NaN
0.46,14.452,76.158,NaN
0.47,15.224,78.246,NaN
0.48,16.017,80.338,NaN
0.49,16.831,82.435,NaN
# Event LAUNCHROD occurred at t=0.5 seconds
0.5,17.666,84.535,NaN
0.515,18.958,87.689,3.505
0.538,20.984,92.437,3.499
0.571,24.225,99.596,3.494
0.621,29.472,110.285,3.49
0.671,35.255,121.075,3.49
