# IREC-M2000R-P (Up to date)
# 873 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (122 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (?),Drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-21.27,0,0,0,NaN,1.5326
0.01,0,0,0.4425,0,0,0,NaN,1.5326
0.02,2.2326e-5,0.0044753,22.165,0,0,0,NaN,1.5326
0.03,0.0011757,0.22621,43.896,0,0,0,NaN,1.3395
0.04,0.0056331,0.66529,65.635,0,0,0,NaN,0.99819
0.05,0.015568,1.3218,87.382,0,0,0,NaN,0.8518
0.06,0.033156,2.1958,109.14,0,0,0,NaN,0.76644
0.07,0.060572,3.2874,130.9,0,0,0,NaN,0.70909
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.099991,4.5966,152.67,0,0,0,NaN,0.66726
0.09,0.15359,6.1236,167.47,0,0,0,NaN,0.63504
0.1,0.2232,7.7987,172.12,0,0,0,NaN,0.61012
0.11,0.3098,9.5206,176.71,0,0,0,NaN,0.59096
0.12,0.41384,11.289,181.32,0,0,0,NaN,0.57552
0.13,0.5358,13.102,185.92,0,0,0,NaN,0.56266
0.14,0.67612,14.962,190.53,0,0,0,NaN,0.55168
0.15,0.83528,16.869,195.14,0,0,0,NaN,0.54212
0.16,1.0137,18.821,199.76,0,0,0,NaN,0.53369
0.17,1.2119,20.819,204.38,0,0,0,NaN,0.52615
0.18,1.4303,22.864,209,0,0,0,NaN,0.51935
0.19,1.6694,24.955,213.63,0,0,0,NaN,0.51316
0.2,1.9297,27.092,218.26,0,0,0,NaN,0.50749
0.21,2.2115,29.276,222.9,0,0,0,NaN,0.50226
0.22,2.5154,31.506,227.54,0,0,0,NaN,0.49742
0.23,2.8418,33.782,232.18,0,0,0,NaN,0.4929
0.24,3.1913,36.105,236.82,0,0,0,NaN,0.48868
0.25,3.5642,38.474,241.47,0,0,0,NaN,0.48472
0.26,3.961,40.889,246.12,0,0,0,NaN,0.48122
0.27,4.3822,43.352,250.75,0,0,0,NaN,0.48124
0.28,4.8282,45.86,252.62,0,0,0,NaN,0.48126
0.29,5.2995,48.387,252.61,0,0,0,NaN,0.48128
0.3,5.796,50.915,252.61,0,0,0,NaN,0.4813
0.31,6.3178,53.442,252.61,0,0,0,NaN,0.48132
0.32,6.8648,55.969,252.6,0,0,0,NaN,0.48135
0.33,7.4372,58.496,252.6,0,0,0,NaN,0.48137
0.34,8.0348,61.024,252.59,0,0,0,NaN,0.4814
0.35,8.6576,63.551,252.59,0,0,0,NaN,0.48143
0.36,9.3058,66.078,252.58,0,0,0,NaN,0.48146
0.37,9.9792,68.605,252.57,0,0,0,NaN,0.48149
0.38,10.678,71.132,252.56,0,0,0,NaN,0.48152
0.39,11.402,73.658,252.55,0,0,0,NaN,0.48155
0.4,12.151,76.185,252.54,0,0,0,NaN,0.48158
0.41,12.926,78.712,252.53,0,0,0,NaN,0.48162
0.42,13.725,81.238,252.52,0,0,0,NaN,0.48165
0.43,14.55,83.764,252.5,0,0,0,NaN,0.48169
0.44,15.401,86.29,252.49,0,0,0,NaN,0.48173
0.45,16.276,88.816,252.47,0,0,0,NaN,0.48177
0.46,17.177,91.342,252.48,0,0,0,NaN,0.48181
# Event LAUNCHROD occurred at t=0.47 seconds
0.47,18.103,93.868,252.69,0,0,0,2.6258,0.48185
0.485,19.539,97.661,253.08,1.3712e-6,-180,1.841e-4,2.6296,0.48191
0.5075,21.801,103.36,253.67,8.7419e-6,-180,4.7348e-4,2.6353,0.48201
0.54125,25.434,111.93,254.54,3.2416e-5,-180,9.3519e-4,2.6439,0.48218
0.59125,31.349,124.69,255.81,9.7538e-5,-180,0.0016821,2.6568,0.48244
0.64125,37.904,137.51,257.18,2.0186e-4,-180,0.0025028,2.6722,0.48274
0.69125,45.101,150.39,258.82,3.4901e-4,-180,0.0033954,2.6879,0.48307
0.74125,52.945,163.36,260.45,5.4257e-4,-180,0.0043582,2.7039,0.48342
0.79125,61.439,176.41,262.08,7.8597e-4,-180,0.0053891,2.7201,0.48382
0.84125,70.588,189.54,263.64,0.0010826,-180,0.0064894,2.7365,0.48424
0.89125,80.395,202.74,265.14,0.0014363,-179.99,0.0076756,2.7533,0.4847
0.94125,90.864,216.03,266.63,0.0018518,-179.98,0.0089614,2.7704,0.48519
0.99125,102,229.38,268.09,0.0023344,-179.97,0.010361,2.7877,0.48571
1.0413,113.8,242.81,269.45,0.0028899,-179.94,0.011882,2.8052,0.48627
1.0913,126.28,256.31,270.75,0.0035249,-179.9,0.013543,2.8231,0.48687
1.1413,139.44,269.87,272.03,0.0042468,-179.85,0.015364,2.8413,0.4875
1.1913,153.27,283.49,273.28,0.0050643,-179.78,0.017366,2.8597,0.48817
1.2413,167.79,297.18,274.49,0.0059869,-179.71,0.019579,2.8784,0.48887
1.2913,182.99,310.93,275.66,0.0070262,-179.64,0.022033,2.8975,0.48961
1.3413,198.88,324.73,276.82,0.0081946,-179.56,0.024753,2.9168,0.49038
1.3913,215.46,338.59,277.84,0.0095061,-179.48,0.027759,2.9364,0.4912
1.4413,232.74,352.51,278.5,0.010976,-179.41,0.031079,2.9563,0.49205
1.4913,250.71,366.45,279.1,0.012619,-179.33,0.034725,2.9765,0.49294
1.5413,269.39,380.43,279.67,0.014454,-179.27,0.038702,2.9968,0.49386
1.5913,288.76,394.43,280.12,0.016495,-179.21,0.043005,3.0174,0.49482
1.6413,308.83,408.45,280.43,0.01876,-179.17,0.047632,3.0383,0.49582
1.6913,329.6,422.49,280.7,0.021263,-179.15,0.052545,3.0595,0.49685
1.7413,351.08,436.54,280.94,0.024018,-179.14,0.057717,3.0809,0.49792
