Time,Altitude,Velocity,Temperature (F),Voltage
0.00,1,0,67.10,9.40
0.05,-1,-47,67.08,9.40
0.10,-4,-25,67.10,9.40
0.15,-7,-8,67.08,9.40
0.20,-2,13,67.10,9.40
0.25,-1,30,67.08,9.40
0.30,2,43,67.08,9.40
0.35,6,51,67.08,9.40
0.40,8,57,67.08,9.40
0.45,10,61,67.08,9.40
0.50,13,67,67.08,9.40
0.55,17,74,67.08,9.40
0.60,22,82,67.08,9.40
0.65,26,91,67.08,9.40
0.70,30,101,67.08,9.40
0.75,36,112,67.08,9.40
0.80,42,125,67.10,9.40
0.85,49,139,67.08,9.40
0.90,56,153,67.08,9.40
0.95,65,167,67.10,9.40
1.00,75,179,67.10,9.40
1.05,84,190,67.10,9.40
1.10,94,199,67.10,9.40
1.15,104,209,67.10,9.40
1.20,116,218,67.08,9.40
1.25,126,228,67.08,9.40
1.30,138,238,67.08,9.40
1.35,151,250,67.08,9.40
1.40,164,262,67.08,9.40
1.45,177,275,67.08,9.40
1.50,192,286,67.08,9.40
1.55,207,298,67.10,9.40
1.60,223,308,67.08,9.40
1.65,238,319,67.08,9.40
1.70,255,329,67.08,9.40
1.75,271,340,67.08,9.40
1.80,289,352,67.08,9.40
1.85,308,364,67.08,9.40
1.90,326,378,67.08,9.40
1.95,345,391,67.08,9.40
2.00,366,404,67.08,9.40
2.05,387,416,67.08,9.40
2.10,409,427,67.08,9.40
2.15,430,436,67.08,9.40
2.20,453,445,67.08,9.40
2.25,475,454,67.08,9.40
2.30,499,463,67.08,9.40
2.35,521,474,67.08,9.40
2.40,546,485,67.08,9.40
2.45,571,497,67.08,9.40
2.50,596,508,67.08,9.40
2.55,624,519,67.08,9.40
2.60,649,529,67.08,9.40
2.65,675,539,67.08,9.40
2.70,703,548,67.08,9.40
2.75,731,558,67.08,9.40
2.80,761,567,67.08,9.40
2.85,788,576,67.10,9.40
2.90,818,585,67.10,9.40
2.95,847,593,67.10,9.40
3.00,877,603,67.12,9.40
3.05,908,613,67.12,9.40
3.10,940,624,67.12,9.40
3.15,970,635,67.12,9.40
3.20,1003,646,67.12,9.40
3.25,1036,659,67.12,9.40
3.30,1070,676,67.12,9.40
3.35,1103,697,67.12,9.40
3.40,1137,721,67.12,9.40
3.45,1174,742,67.12,9.40
3.50,1217,756,67.12,9.40
3.55,1259,759,67.12,9.40
3.60,1298,750,67.12,9.40
3.65,1331,734,67.10,9.40
3.70,1360,712,67.10,9.40
3.75,1406,690,67.10,9.40
3.80,1437,669,67.10,9.40
3.85,1468,651,67.10,9.40
3.90,1495,635,67.10,9.40
3.95,1527,625,67.10,9.40
4.00,1561,616,67.10,9.40
4.05,1590,605,67.10,9.40
