Time,Altitude,Velocity,Temperature (F),Voltage
0.00,0,0,47.73,9.40
0.05,-6,-60,47.73,9.40
0.10,-3,8,47.73,9.40
0.15,-2,-4,47.73,9.40
0.20,-2,19,47.75,9.40
0.25,-1,33,47.75,9.40
0.30,3,44,47.73,9.40
0.35,4,55,47.73,9.40
0.40,8,66,47.73,9.40
0.45,12,77,47.73,9.40
0.50,17,87,47.73,9.40
0.55,21,97,47.73,9.40
0.60,26,107,47.73,9.40
0.65,33,116,47.73,9.40
0.70,39,125,47.73,9.40
0.75,45,133,47.73,9.40
0.80,53,139,47.75,9.40
0.85,60,145,47.73,9.40
0.90,68,150,47.75,9.40
0.95,75,155,47.77,9.40
1.00,83,160,47.75,9.40
1.05,91,165,47.77,9.40
1.10,100,172,47.77,9.40
1.15,109,180,47.77,9.40
1.20,118,189,47.77,9.40
1.25,127,200,47.77,9.40
1.30,138,213,47.77,9.40
1.35,149,227,47.77,9.40
1.40,161,241,47.79,9.40
1.45,175,253,47.77,9.40
1.50,189,262,47.79,9.40
1.55,202,270,47.79,9.40
1.60,215,275,47.79,9.40
1.65,230,281,47.79,9.40
1.70,243,288,47.79,9.40
1.75,258,296,47.79,9.40
1.80,274,305,47.79,9.40
1.85,289,314,47.79,9.40
1.90,306,323,47.79,9.40
1.95,322,333,47.79,9.40
2.00,339,342,47.79,9.40
2.05,356,352,47.79,9.40
2.10,375,360,47.79,9.40
2.15,394,368,47.79,9.40
2.20,413,376,47.79,9.40
2.25,431,385,47.79,9.40
2.30,450,394,47.79,9.40
2.35,470,405,47.79,9.40
2.40,492,416,47.79,9.40
2.45,514,426,47.79,9.40
2.50,536,435,47.79,9.40
2.55,557,441,47.79,9.40
2.60,580,445,47.79,9.40
2.65,603,448,47.79,9.40
2.70,625,451,47.79,9.40
2.75,647,454,47.79,9.40
2.80,671,459,47.79,9.40
2.85,693,466,47.79,9.40
2.90,716,476,47.77,9.40
2.95,740,487,47.79,9.40
3.00,766,499,47.79,9.40
3.05,793,507,47.79,9.40
3.10,819,513,47.79,9.40
3.15,843,516,47.80,9.40
3.20,870,519,47.80,9.40
3.25,896,524,47.80,9.40
3.30,922,534,47.80,9.40
3.35,947,548,47.80,9.40
3.40,975,564,47.82,9.40
3.45,1005,581,47.80,9.40
3.50,1036,595,47.80,9.40
3.55,1072,610,47.80,9.40
3.60,1097,633,47.80,9.40
3.65,1125,670,47.80,9.40
3.70,1155,720,47.80,9.40
3.75,1199,778,47.80,9.40
3.80,1245,833,47.80,9.40
3.85,1293,873,47.80,9.40
3.90,1340,892,47.80,9.40
3.95,1385,896,47.80,9.40
4.00,1428,889,47.80,9.40
4.05,1471,879,47.80,9.40
4.10,1514,868,47.80,9.40
4.15,1558,857,47.80,9.40
4.20,1603,844,47.80,9.40
4.25,1644,828,47.80,9.40
4.30,1683,813,47.80,9.40
4.35,1721,800,47.80,9.40
4.40,1761,791,47.80,9.40
4.45,1800,787,47.80,9.40
4.50,1839,786,47.82,9.40
4.55,1879,785,47.82,9.40
4.60,1919,783,47.82,9.40
4.65,1957,781,47.82,9.40
4.70,1996,777,47.82,9.40
4.75,2035,772,47.82,9.40
4.80,2074,766,47.84,9.40
4.85,2111,759,47.82,9.40
4.90,2150,754,47.84,9.40
4.95,2185,751,47.84,9.40
5.00,2223,750,47.84,9.40
5.05,2260,751,47.82,9.40
5.10,2298,752,47.82,9.40
5.15,2337,751,47.82,9.40
5.20,2375,748,47.82,9.40
5.25,2412,742,47.82,9.40
5.30,2447,735,47.82,9.40
5.35,2484,728,47.82,9.40
5.40,2521,722,47.82,9.40
5.45,2557,716,47.82,9.40
5.50,2591,712,47.82,9.40
5.55,2626,708,47.82,9.40
5.60,2663,703,47.82,9.40
5.65,2697,698,47.82,9.40
5.70,2732,691,47.82,9.40
5.75,2768,683,47.82,9.40
5.80,2800,675,47.82,9.40
5.85,2833,669,47.82,9.40
5.90,2865,666,47.84,9.40
5.95,2898,666,47.84,9.40
6.00,2933,667,47.84,9.40
6.05,2966,668,47.84,9.40
6.10,3000,666,47.86,9.40
6.15,3033,661,47.86,9.40
6.20,3066,654,47.86,9.40
6.25,3099,647,47.86,9.40
6.30,3130,640,47.86,9.40
6.35,3161,636,47.86,9.40
6.40,3192,635,47.86,9.40
6.45,3224,634,47.86,9.40
6.50,3257,634,47.86,9.40
6.55,3289,633,47.86,9.40
6.60,3320,630,47.86,9.40
6.65,3351,627,47.86,9.40
6.70,3382,623,47.86,9.40
6.75,3413,619,47.84,9.40
6.80,3445,614,47.84,9.40
6.85,3475,609,47.86,9.40
6.90,3505,605,47.86,9.40
6.95,3534,600,47.84,9.40
7.00,3564,596,47.86,9.40
7.05,3595,594,47.84,9.40
7.10,3623,590,47.86,9.40
7.15,3654,587,47.86,9.40
7.20,3682,584,47.86,9.40
7.25,3711,581,47.86,9.40
7.30,3740,578,47.86,9.40
7.35,3769,573,47.86,9.40
7.40,3799,567,47.86,9.40
7.45,3826,561,47.86,9.40
7.50,3853,555,47.88,9.40
7.55,3880,551,47.88,9.40
7.60,3907,550,47.88,9.40
7.65,3936,550,47.88,9.40
7.70,3962,551,47.88,9.40
7.75,3990,551,47.88,9.40
7.80,4019,548,47.88,9.40
7.85,4046,544,47.88,9.40
7.90,4073,539,47.88,9.40
7.95,4099,533,47.88,9.40
8.00,4125,529,47.88,9.40
8.05,4151,525,47.88,9.40
8.10,4178,521,47.88,9.40
8.15,4204,519,47.89,9.40
8.20,4229,517,47.88,9.40
8.25,4255,515,47.88,9.40
8.30,4280,515,47.88,9.40
8.35,4306,514,47.88,9.40
8.40,4333,513,47.88,9.40
8.45,4358,512,47.88,9.40
8.50,4383,509,47.88,9.40
8.55,4409,505,47.88,9.40
8.60,4433,502,47.88,9.40
8.65,4459,499,47.88,9.40
8.70,4484,496,47.88,9.40
8.75,4507,493,47.88,9.40
8.80,4533,490,47.88,9.40
8.85,4557,486,47.88,9.40
8.90,4581,481,47.88,9.40
8.95,4605,475,47.88,9.40
9.00,4630,469,47.88,9.40
9.05,4651,463,47.88,9.40
9.10,4673,458,47.88,9.40
9.15,4697,455,47.88,9.40
9.20,4719,453,47.88,9.40
9.25,4743,452,47.88,9.40
9.30,4764,449,47.88,9.40
9.35,4787,447,47.89,9.40
9.40,4809,443,47.89,9.40
9.45,4832,440,47.89,9.40
9.50,4853,437,47.89,9.40
9.55,4874,435,47.89,9.40
9.60,4895,435,47.89,9.40
9.65,4919,436,47.91,9.40
9.70,4939,437,47.91,9.40
9.75,4962,437,47.91,9.40
9.80,4983,434,47.91,9.40
9.85,5007,430,47.91,9.40
9.90,5027,426,47.91,9.40
9.95,5047,422,47.91,9.40
10.00,5068,420,47.89,9.40
10.05,5088,419,47.91,9.40
10.10,5111,420,47.89,9.40
10.15,5131,420,47.91,9.40
10.20,5152,418,47.91,9.40
10.25,5174,415,47.91,9.40
10.30,5194,412,47.91,9.40
10.35,5214,408,47.89,9.40
10.40,5234,405,47.89,9.40
10.45,5254,402,47.89,9.40
10.50,5275,398,47.89,9.40
10.55,5294,395,47.91,9.40
10.60,5314,392,47.89,9.40
10.65,5333,388,47.89,9.40
10.70,5352,385,47.89,9.40
10.75,5372,381,47.91,9.40
10.80,5390,379,47.89,9.40
10.85,5409,377,47.89,9.40
10.90,5427,375,47.89,9.40
10.95,5447,374,47.89,9.40
11.00,5465,372,47.89,9.40
11.05,5484,370,47.89,9.40
11.10,5502,366,47.89,9.40
11.15,5520,362,47.89,9.40
11.20,5539,357,47.91,9.40
11.25,5556,353,47.89,9.40
11.30,5572,350,47.91,9.40
11.35,5590,347,47.91,9.40
11.40,5608,346,47.91,9.40
11.45,5625,345,47.91,9.40
11.50,5641,344,47.91,9.40
11.55,5659,344,47.93,9.40
11.60,5676,342,47.91,9.40
11.65,5695,341,47.91,9.40
11.70,5709,339,47.91,9.40
11.75,5727,336,47.93,9.40
11.80,5744,334,47.93,9.40
11.85,5761,331,47.95,9.40
11.90,5776,329,47.95,9.40
11.95,5793,327,47.95,9.40
12.00,5810,325,47.93,9.40
12.05,5826,322,47.95,9.40
12.10,5840,319,47.95,9.40
12.15,5859,316,47.93,9.40
12.20,5873,313,47.95,9.40
12.25,5888,311,47.95,9.40
12.30,5903,309,47.95,9.40
12.35,5920,308,47.93,9.40
12.40,5934,308,47.93,9.40
12.45,5950,308,47.95,9.40
12.50,5966,307,47.95,9.40
12.55,5980,306,47.95,9.40
12.60,5996,305,47.95,9.40
12.65,6011,303,47.95,9.40
12.70,6027,301,47.95,9.40
12.75,6041,299,47.93,9.40
12.80,6055,296,47.93,9.40
12.85,6072,294,47.93,9.40
12.90,6085,292,47.93,9.40
12.95,6099,290,47.93,9.40
13.00,6114,288,47.93,9.40
13.05,6129,286,47.93,9.40
13.10,6143,282,47.93,9.40
13.15,6157,278,47.93,9.40
13.20,6170,274,47.93,9.40
13.25,6184,270,47.93,9.40
13.30,6197,268,47.95,9.40
13.35,6209,268,47.93,9.40
13.40,6224,267,47.93,9.40
