Time,Altitude,Velocity,Temperature (F),Voltage
0.00,-11,0,90.03,9.30
0.05,-6,107,90.03,9.30
0.10,0,53,90.03,9.30
0.15,0,56,90.03,9.30
0.20,2,48,90.03,9.30
0.25,3,42,90.03,9.30
0.30,5,44,90.03,9.30
0.35,7,48,90.03,9.30
0.40,10,54,90.03,9.30
0.45,14,62,90.03,9.30
0.50,16,70,90.03,9.30
0.55,20,78,90.03,9.30
0.60,25,88,90.03,9.30
0.65,29,98,90.03,9.30
0.70,35,108,90.03,9.30
0.75,41,118,90.03,9.30
0.80,47,129,90.01,9.30
0.85,54,139,90.03,9.30
0.90,62,148,90.01,9.30
0.95,70,158,90.03,9.30
1.00,77,168,90.03,9.30
1.05,87,179,90.03,9.30
1.10,96,190,90.03,9.30
1.15,106,202,90.03,9.30
1.20,117,213,90.03,9.30
1.25,128,225,90.03,9.30
1.30,140,235,90.01,9.30
1.35,153,245,90.03,9.30
1.40,165,255,90.03,9.30
1.45,178,267,90.03,9.30
1.50,191,279,90.03,9.30
1.55,207,292,90.03,9.30
1.60,221,303,90.03,9.30
1.65,239,313,90.03,9.30
1.70,255,321,90.03,9.30
1.75,270,328,90.03,9.30
1.80,287,335,90.03,9.30
1.85,304,343,90.03,9.30
1.90,322,352,90.03,9.30
1.95,339,363,90.03,9.30
2.00,358,376,90.03,9.30
2.05,378,388,90.03,9.30
2.10,397,401,90.03,9.30
2.15,419,412,90.03,9.30
2.20,440,421,90.03,9.30
2.25,462,430,90.03,9.30
2.30,483,439,90.03,9.30
2.35,505,448,90.03,9.30
2.40,528,458,90.03,9.30
2.45,552,468,90.03,9.30
2.50,576,478,90.03,9.30
2.55,599,487,90.03,9.30
2.60,626,495,90.03,9.30
2.65,651,502,90.03,9.30
2.70,676,511,90.03,9.30
2.75,700,521,90.03,9.30
2.80,727,533,90.03,9.30
2.85,755,545,90.03,9.30
2.90,783,554,90.03,9.30
2.95,813,561,90.03,9.30
3.00,842,567,90.03,9.30
3.05,868,575,90.03,9.30
3.10,895,587,90.05,9.30
3.15,925,603,90.03,9.30
3.20,957,617,90.03,9.30
3.25,990,622,90.03,9.30
3.30,1027,614,90.03,9.30
3.35,1059,599,90.03,9.30
3.40,1085,584,90.03,9.30
3.45,1104,577,90.03,9.30
3.50,1131,581,90.03,9.30
3.55,1164,590,90.03,9.30
3.60,1203,596,90.03,9.30
3.65,1232,593,90.03,9.30
3.70,1259,578,90.03,9.30
3.75,1286,560,90.03,9.30
3.80,1312,544,90.03,9.30
3.85,1339,536,90.03,9.30
3.90,1363,537,90.05,9.30
3.95,1389,545,90.03,9.30
4.00,1419,556,90.03,9.30
4.05,1448,566,90.05,9.30
4.10,1478,571,90.03,9.30
4.15,1505,569,90.03,9.30
4.20,1536,561,90.03,9.30
4.25,1564,548,90.03,9.30
4.30,1590,537,90.03,9.30
4.35,1614,529,90.03,9.30
4.40,1638,526,90.05,9.30
4.45,1665,527,90.03,9.30
4.50,1693,527,90.03,9.30
4.55,1722,524,90.03,9.30
4.60,1749,517,90.05,9.30
4.65,1772,508,90.03,9.30
4.70,1794,502,90.03,9.30
4.75,1819,499,90.03,9.30
4.80,1846,498,90.03,9.30
4.85,1871,499,90.03,9.30
4.90,1896,498,90.03,9.30
4.95,1921,495,90.03,9.30
5.00,1946,491,90.03,9.30
5.05,1969,489,90.03,9.30
5.10,1992,488,90.03,9.30
5.15,2018,488,90.03,9.30
5.20,2042,489,90.03,9.30
5.25,2068,489,90.03,9.30
5.30,2092,486,90.03,9.30
5.35,2116,484,90.03,9.30
5.40,2139,481,90.03,9.30
5.45,2163,478,90.03,9.30
5.50,2188,476,90.03,9.30
5.55,2211,474,90.03,9.30
5.60,2235,471,90.03,9.30
5.65,2258,468,90.03,9.30
5.70,2281,466,90.03,9.30
5.75,2304,463,90.03,9.30
5.80,2328,460,90.03,9.30
5.85,2351,458,90.03,9.30
5.90,2373,455,90.03,9.30
5.95,2395,453,90.03,9.30
6.00,2418,451,90.03,9.30
6.05,2441,449,90.03,9.30
6.10,2464,447,90.03,9.30
6.15,2485,445,90.03,9.30
6.20,2507,442,90.01,9.30
6.25,2530,440,90.03,9.30
6.30,2551,438,90.03,9.30
6.35,2574,437,90.03,9.30
6.40,2594,436,90.03,9.30
6.45,2616,436,90.03,9.30
6.50,2638,434,90.03,9.30
6.55,2661,432,90.03,9.30
6.60,2683,428,90.03,9.30
6.65,2702,423,90.03,9.30
6.70,2724,418,90.03,9.30
6.75,2744,414,90.01,9.30
6.80,2765,412,90.01,9.30
6.85,2785,410,90.03,9.30
6.90,2806,410,90.03,9.30
6.95,2825,410,90.03,9.30
7.00,2847,410,90.03,9.30
7.05,2868,409,90.01,9.30
7.10,2887,407,90.03,9.30
7.15,2908,404,90.01,9.30
7.20,2929,401,90.03,9.30
7.25,2947,398,90.01,9.30
7.30,2968,394,90.01,9.30
7.35,2987,391,90.01,9.30
7.40,3007,388,90.03,9.30
7.45,3025,386,90.03,9.30
7.50,3045,385,90.01,9.30
7.55,3064,385,90.01,9.30
7.60,3083,385,90.03,9.30
7.65,3102,384,90.01,9.30
7.70,3122,382,90.01,9.30
7.75,3142,380,90.01,9.30
7.80,3159,376,90.03,9.30
7.85,3179,372,90.01,9.30
7.90,3196,368,90.01,9.30
7.95,3215,366,90.01,9.30
8.00,3233,365,90.01,9.30
8.05,3251,364,90.01,9.30
8.10,3269,364,90.03,9.30
8.15,3287,362,90.03,9.30
8.20,3307,359,90.01,9.30
8.25,3324,355,90.03,9.30
8.30,3341,351,90.01,9.30
8.35,3358,349,90.01,9.30
8.40,3374,349,90.01,9.30
8.45,3393,350,90.01,9.30
8.50,3411,351,90.01,9.30
8.55,3428,351,90.01,9.30
8.60,3446,349,90.03,9.30
8.65,3464,345,90.01,9.30
8.70,3481,339,90.01,9.30
8.75,3497,333,90.01,9.30
8.80,3513,329,90.01,9.30
8.85,3529,327,90.01,9.30
8.90,3545,327,90.01,9.30
8.95,3561,328,90.01,9.30
9.00,3579,329,90.01,9.30
9.05,3595,328,90.01,9.30
9.10,3612,324,90.01,9.30
9.15,3628,320,90.01,9.30
9.20,3643,316,90.01,9.30
9.25,3659,312,90.01,9.30
9.30,3673,311,90.01,9.30
9.35,3689,311,90.01,9.30
9.40,3705,312,90.01,9.30
9.45,3721,312,90.01,9.30
9.50,3737,310,90.01,9.30
9.55,3752,307,90.01,9.30
9.60,3767,304,90.01,9.30
9.65,3782,302,90.01,9.30
9.70,3796,301,90.01,9.30
9.75,3812,300,90.01,9.30
9.80,3827,300,90.01,9.30
9.85,3842,299,90.01,9.30
9.90,3857,296,90.01,9.30
9.95,3872,294,90.01,9.30
10.00,3886,291,90.01,9.30
10.05,3900,289,90.01,9.30
10.10,3915,287,90.01,9.30
10.15,3929,284,90.01,9.30
10.20,3944,281,90.01,9.30
10.25,3957,279,90.01,9.30
10.30,3971,276,90.01,9.30
10.35,3984,274,90.01,9.30
10.40,3998,273,90.01,9.30
10.45,4012,272,90.00,9.30
10.50,4025,271,90.01,9.30
10.55,4039,269,90.01,9.30
10.60,4053,266,90.01,9.30
10.65,4065,264,90.01,9.30
10.70,4078,262,90.01,9.30
10.75,4092,260,90.01,9.30
10.80,4104,259,90.01,9.30
10.85,4117,257,90.01,9.30
10.90,4131,255,90.01,9.30
10.95,4143,254,90.01,9.30
11.00,4154,253,90.01,9.30
11.05,4168,252,90.01,9.30
11.10,4181,252,90.01,9.30
11.15,4193,251,90.01,9.30
11.20,4206,250,90.01,9.30
11.25,4218,248,90.01,9.30
11.30,4230,246,90.01,9.30
11.35,4243,244,90.01,9.30
11.40,4255,242,90.01,9.30
11.45,4267,240,90.01,9.30
11.50,4278,236,90.01,9.30
11.55,4291,233,90.00,9.30
11.60,4302,229,90.01,9.30
11.65,4313,226,90.01,9.30
11.70,4324,223,90.01,9.30
11.75,4335,221,90.00,9.30
11.80,4346,220,90.01,9.30
11.85,4357,220,90.01,9.30
11.90,4368,221,90.01,9.30
11.95,4379,221,90.00,9.30
12.00,4390,222,90.01,9.30
12.05,4401,221,90.00,9.30
12.10,4413,220,90.00,9.30
12.15,4424,217,90.00,9.30
12.20,4434,214,90.00,9.30
12.25,4444,211,90.01,9.30
12.30,4455,208,90.01,9.30
12.35,4466,205,90.00,9.30
12.40,4475,202,90.00,9.30
12.45,4485,200,90.01,9.30
12.50,4495,198,90.00,9.30
12.55,4505,198,90.00,9.30
12.60,4514,199,90.00,9.30
12.65,4524,199,90.00,9.30
12.70,4536,198,90.00,9.30
12.75,4545,196,90.01,9.30
12.80,4555,193,90.01,9.30
12.85,4563,190,90.00,9.30
12.90,4573,188,90.01,9.30
12.95,4583,185,90.00,9.30
13.00,4592,184,90.01,9.30
13.05,4600,183,90.00,9.30
13.10,4610,182,90.00,9.30
13.15,4619,181,90.00,9.30
13.20,4628,180,90.00,9.30
13.25,4637,179,90.01,9.30
13.30,4646,177,90.00,9.30
13.35,4655,174,90.00,9.30
13.40,4663,172,90.00,9.30
13.45,4671,171,90.00,9.30
13.50,4680,169,90.00,9.30
13.55,4689,167,90.00,9.30
13.60,4697,166,90.00,9.30
13.65,4705,163,90.01,9.30
13.70,4713,161,90.00,9.30
13.75,4721,160,90.00,9.30
13.80,4728,159,90.00,9.30
13.85,4738,158,90.00,9.30
13.90,4744,157,90.00,9.30
13.95,4753,155,90.00,9.30
14.00,4760,153,90.00,9.30
14.05,4767,151,90.00,9.30
14.10,4776,148,90.00,9.30
14.15,4782,146,90.00,9.30
14.20,4790,143,90.00,9.30
14.25,4797,140,90.00,9.30
14.30,4803,139,90.00,9.30
