# Simulation 6 (Up to date)
# 341 data points written for 5 variables.
#
# Time (s),Altitude (ft),Lateral distance (ft),Drag force (N),Drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,0.51866
0.01,0.0022225,0,1.3347e-6,0.51864
0.02,0.015311,0,1.4862e-4,0.51827
0.03,0.047065,0,9.9492e-4,0.51726
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.098935,0,0.0030489,0.51566
0.05,0.17084,0,0.006595,0.51358
0.06,0.26257,0,0.011819,0.51113
0.07,0.37399,0,0.018811,0.50838
0.08,0.50498,0,0.02758,0.50544
0.09,0.65545,0,0.038085,0.50238
0.1,0.82527,0,0.050251,0.49927
0.11,1.0144,0,0.064006,0.49613
0.12,1.2227,0,0.079361,0.493
0.13,1.4504,0,0.09626,0.4899
0.14,1.6974,0,0.11463,0.48685
0.15,1.9639,0,0.13441,0.48387
0.16,2.2498,0,0.15553,0.48096
0.17,2.5554,0,0.17792,0.47813
0.18,2.8805,0,0.20265,0.47802
0.19,3.2253,0,0.22886,0.47803
0.2,3.5899,0,0.25646,0.47804
0.21,3.9743,0,0.28545,0.47805
0.22,4.3786,0,0.31579,0.47807
0.23,4.8029,0,0.34746,0.47808
0.24,5.2472,0,0.38044,0.4781
0.25,5.7117,0,0.41469,0.47811
# Event LAUNCHROD occurred at t=0.26 seconds
0.26,6.1963,0,0.4502,0.47813
0.275,6.9614,0.001312,0.50554,0.47816
0.2975,8.1947,0.0082982,0.59246,0.4782
0.32614,9.9132,0.026036,0.70921,0.47826
0.35176,11.592,0.049957,0.81919,0.47832
0.37633,13.328,0.079302,0.92388,0.47838
0.40027,15.138,0.11293,1.0227,0.47845
0.42394,17.044,0.14984,1.118,0.47851
0.44774,19.076,0.18904,1.2131,0.47859
0.47211,21.278,0.22936,1.3084,0.47867
0.49769,23.722,0.26932,1.4073,0.47876
0.52549,26.53,0.30646,1.516,0.47886
0.55755,29.966,0.33534,1.6499,0.47898
0.59948,34.777,0.33829,1.8476,0.47916
0.64948,40.981,0.26652,2.1456,0.47939
0.69948,47.682,0.082918,2.5231,0.47963
0.73441,52.651,0.12817,2.8216,0.47981
0.75743,56.052,0.31023,3.0282,0.47993
0.77642,58.933,0.48846,3.2008,0.48003
0.79321,61.534,0.66819,3.3523,0.48012
0.80859,63.963,0.85171,3.4891,0.4802
0.82301,66.278,1.0406,3.6155,0.48028
0.83676,68.521,1.2363,3.7341,0.48036
0.85006,70.721,1.4402,3.8467,0.48044
0.86305,72.903,1.6536,3.9539,0.48051
0.87588,75.086,1.878,4.0566,0.48059
0.88869,77.294,2.1155,4.1559,0.48066
0.90161,79.552,2.3687,4.253,0.48074
0.91483,81.892,2.6418,4.3495,0.48082
0.92858,84.356,2.9403,4.4474,0.4809
0.94317,87.007,3.2731,4.5494,0.48099
0.9591,89.944,3.6547,4.6603,0.48109
0.97727,93.347,4.1123,4.7885,0.4812
0.99974,97.633,4.7089,4.9544,0.48134
1.0334,104.22,5.6622,5.2303,0.48155
1.0834,114.35,7.1857,5.7139,0.48187
1.1113,120.17,8.0797,6.0069,0.48205
1.1294,124.02,8.6759,6.1984,0.48217
1.1446,127.3,9.1854,6.3567,0.48227
1.1583,130.3,9.6513,6.4958,0.48236
1.1712,133.13,10.093,6.6219,0.48244
1.1836,135.89,10.521,6.7387,0.48252
1.1958,138.62,10.946,6.8489,0.4826
1.208,141.37,11.374,6.9537,0.48268
1.2204,144.2,11.813,7.0524,0.48275
1.2334,147.17,12.276,7.1471,0.48283
1.2473,150.39,12.777,7.2397,0.48291
1.2628,154.01,13.342,7.3219,0.48298
1.2814,158.38,14.024,7.392,0.48305
1.3072,164.47,14.979,7.4657,0.48312
1.3458,173.67,16.432,7.5482,0.48318
1.3955,185.52,18.335,7.6314,0.48321
1.4134,189.81,19.034,7.6501,0.48321
1.4291,193.55,19.649,7.66,0.48321
1.4438,197.05,20.229,7.6633,0.48321
1.458,200.44,20.795,7.6625,0.48321
1.4722,203.84,21.366,7.6578,0.48321
1.4868,207.33,21.958,7.6494,0.48321
1.5024,211.04,22.591,7.6364,0.48321
1.5197,215.16,23.301,7.6178,0.48321
1.5403,220.08,24.153,7.5908,0.48321
1.569,226.9,25.344,7.5516,0.48319
1.612,237.1,27.14,7.5019,0.48316
1.662,248.92,29.229,7.4613,0.48311
1.6838,254.05,30.136,7.4299,0.48308
# Event BURNOUT occurred at t=1.7027 seconds
1.7027,258.5,30.92,7.3848,0.48305
1.7207,262.7,31.659,7.3317,0.48301
1.7386,266.87,32.391,7.2745,0.48297
1.7572,271.2,33.15,7.2113,0.48293
1.7777,275.93,33.979,7.1393,0.48289
1.802,281.53,34.958,7.054,0.48285
1.836,289.3,36.316,6.942,0.48278
1.886,300.65,38.305,6.8028,0.48268
1.936,311.87,40.288,6.6832,0.48259
1.9642,318.17,41.411,6.6142,0.48253
1.9887,323.59,42.384,6.5502,0.48249
2.0125,328.81,43.327,6.484,0.48244
2.0371,334.2,44.309,6.4117,0.4824
2.0648,340.24,45.413,6.3285,0.48235
2.1004,347.93,46.83,6.2241,0.48228
2.1504,358.63,48.817,6.0914,0.48219
2.2004,369.23,50.792,5.9753,0.48211
2.2464,378.89,52.596,5.8718,0.48203
2.279,385.66,53.862,5.795,0.48197
2.3097,392,55.047,5.7186,0.48192
2.3421,398.66,56.29,5.6348,0.48187
2.3809,406.56,57.766,5.5344,0.4818
2.4309,416.64,59.656,5.4117,0.48172
2.4809,426.62,61.536,5.3004,0.48165
2.5309,436.48,63.41,5.1959,0.48157
2.5802,446.09,65.255,5.092,0.48149
2.6218,454.14,66.815,5.0005,0.48143
2.6658,462.54,68.46,4.9015,0.48136
2.7158,471.99,70.329,4.7904,0.48129
2.7658,481.34,72.193,4.6854,0.48122
2.8158,490.58,74.047,4.5874,0.48115
2.8658,499.71,75.89,4.4929,0.48108
2.9158,508.74,77.719,4.3978,0.48101
2.9658,517.67,79.534,4.3005,0.48094
3.0158,526.5,81.334,4.2021,0.48088
3.0658,535.22,83.123,4.1058,0.48081
3.1158,543.84,84.901,4.0137,0.48075
3.1658,552.36,86.673,3.9261,0.48069
3.2158,560.78,88.439,3.8411,0.48062
3.2658,569.09,90.202,3.7565,0.48056
3.3158,577.3,91.962,3.6714,0.4805
3.3658,585.4,93.719,3.5861,0.48045
3.4158,593.41,95.472,3.5021,0.48039
3.4658,601.31,97.221,3.4207,0.48033
3.5158,609.12,98.963,3.3425,0.48028
3.5658,616.83,100.7,3.2667,0.48022
3.6158,624.44,102.42,3.1924,0.48017
3.6658,631.95,104.14,3.1185,0.48011
3.7158,639.37,105.84,3.0446,0.48006
3.7658,646.69,107.54,2.9712,0.48001
3.8158,653.92,109.22,2.8989,0.47996
3.8658,661.05,110.9,2.8284,0.47991
3.9158,668.08,112.57,2.76,0.47986
3.9658,675.02,114.24,2.6936,0.47982
4.0158,681.87,115.9,2.6287,0.47977
4.0658,688.62,117.55,2.5648,0.47972
4.1158,695.27,119.21,2.5015,0.47968
4.1658,701.83,120.86,2.4389,0.47963
4.2158,708.29,122.5,2.3771,0.47959
4.2658,714.67,124.14,2.3165,0.47955
4.3158,720.94,125.78,2.2575,0.47951
4.3658,727.13,127.41,2.1999,0.47946
4.4158,733.22,129.04,2.1438,0.47942
4.4658,739.22,130.66,2.089,0.47938
4.5158,745.13,132.27,2.0351,0.47935
4.5658,750.96,133.88,1.982,0.47931
4.6158,756.69,135.48,1.9296,0.47927
4.6658,762.33,137.07,1.8779,0.47923
4.7158,767.88,138.66,1.827,0.4792
4.7658,773.34,140.24,1.7771,0.47916
4.8158,778.72,141.81,1.7282,0.47913
4.8658,784,143.38,1.6806,0.47909
4.9158,789.19,144.95,1.634,0.47906
4.9658,794.3,146.51,1.5886,0.47903
5.0158,799.32,148.06,1.5441,0.47899
5.0658,804.25,149.61,1.5006,0.47896
5.1158,809.09,151.16,1.4579,0.47893
5.1658,813.84,152.71,1.4161,0.4789
5.2158,818.51,154.25,1.375,0.47887
5.2658,823.08,155.79,1.3349,0.47884
5.3158,827.57,157.32,1.2956,0.47882
5.3658,831.98,158.85,1.2573,0.47879
5.4158,836.29,160.38,1.22,0.47876
5.4658,840.52,161.9,1.1836,0.47873
5.5158,844.67,163.42,1.1481,0.47871
5.5658,848.72,164.93,1.1135,0.47868
5.6158,852.7,166.44,1.0797,0.47866
5.6658,856.59,167.95,1.0467,0.47863
# Event EJECTION_CHARGE occurred at t=5.7027 seconds
5.7027,859.4,169.06,1.0228,0.47862
5.7527,863.14,170.56,0.99113,0.47859
5.8027,866.8,172.05,0.96014,0.47857
5.8527,870.37,173.54,0.92985,0.47855
5.9027,873.86,175.02,0.90026,0.47853
5.9527,877.27,176.5,0.8714,0.47851
6.0027,880.59,177.98,0.84326,0.47849
6.0527,883.83,179.45,0.81586,0.47847
6.1027,886.98,180.92,0.78921,0.47845
6.1527,890.05,182.38,0.76332,0.47843
6.2027,893.04,183.84,0.73819,0.47841
6.2527,895.95,185.3,0.71382,0.47839
6.3027,898.77,186.75,0.69021,0.47838
6.3527,901.51,188.2,0.66736,0.47836
6.4027,904.17,189.65,0.64527,0.47834
6.4527,906.74,191.09,0.62392,0.47833
6.5027,909.23,192.53,0.60333,0.47831
6.5527,911.65,193.97,0.58349,0.4783
6.6027,913.97,195.4,0.56439,0.47829
6.6527,916.22,196.83,0.54604,0.47827
6.7027,918.38,198.26,0.52843,0.47826
6.7527,920.47,199.68,0.51157,0.47825
6.8027,922.47,201.1,0.49546,0.47823
6.8527,924.39,202.52,0.48008,0.47822
6.9027,926.23,203.93,0.46544,0.47821
6.9527,927.99,205.35,0.45152,0.4782
7.0027,929.67,206.76,0.43833,0.47819
7.0527,931.27,208.16,0.42585,0.47818
7.1027,932.78,209.56,0.41407,0.47817
7.1527,934.22,210.96,0.40299,0.47816
7.2027,935.58,212.36,0.39258,0.47816
7.2527,936.86,213.75,0.38284,0.47815
7.3027,938.06,215.14,0.37375,0.47814
7.3527,939.18,216.53,0.36531,0.47813
7.4027,940.22,217.91,0.35749,0.47813
7.4527,941.18,219.3,0.35029,0.47812
7.5027,942.06,220.67,0.34369,0.47812
7.5527,942.87,222.05,0.33768,0.47811
7.6027,943.59,223.42,0.33225,0.47811
7.6527,944.24,224.79,0.32738,0.4781
7.7027,944.81,226.16,0.32305,0.4781
7.7527,945.3,227.52,0.31927,0.4781
7.8027,945.72,228.88,0.316,0.47809
7.8527,946.05,230.24,0.31325,0.47809
7.9027,946.31,231.6,0.311,0.47809
7.9527,946.49,232.95,0.30923,0.47809
8.0027,946.59,234.3,0.30793,0.47809
8.0527,946.62,235.65,0.3071,0.47809
# Event APOGEE occurred at t=8.1027 seconds
8.1027,946.57,237,0.30672,0.47809
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=8.1037 seconds
8.1419,946.48,238.04,13.777,NaN
8.18,946.34,238.99,13.15,NaN
8.2194,946.15,239.94,12.563,NaN
8.2602,945.91,240.87,12.015,NaN
8.3024,945.61,241.79,11.506,NaN
8.3461,945.25,242.69,11.037,NaN
8.3913,944.82,243.57,10.607,NaN
8.4379,944.32,244.43,10.216,NaN
8.4861,943.75,245.26,9.864,NaN
8.5358,943.09,246.07,9.5508,NaN
8.587,942.35,246.85,9.2756,NaN
8.6399,941.52,247.59,9.0381,NaN
8.6944,940.59,248.31,8.8377,NaN
8.7506,939.56,248.99,8.6735,NaN
8.8085,938.43,249.63,8.5449,NaN
8.8683,937.18,250.24,8.4511,NaN
8.93,935.81,250.79,8.391,NaN
8.9937,934.32,251.31,8.3637,NaN
9.0596,932.68,251.77,8.3683,NaN
9.1278,930.91,252.19,8.4037,NaN
9.1985,928.97,252.55,8.4689,NaN
9.2719,926.87,252.84,8.5626,NaN
9.3484,924.58,253.08,8.6838,NaN
9.4282,922.09,253.23,8.8313,NaN
9.5117,919.37,253.32,9.0038,NaN
9.5994,916.41,253.31,9.2001,NaN
9.6919,913.18,253.2,9.4188,NaN
9.7899,909.63,252.98,9.6584,NaN
9.8941,905.73,252.63,9.9173,NaN
10.006,901.43,252.13,10.194,NaN
10.126,896.64,251.45,10.486,NaN
10.257,891.3,250.55,10.792,NaN
10.4,885.29,249.4,11.109,NaN
10.558,878.45,247.92,11.435,NaN
10.737,870.59,246.03,11.765,NaN
10.941,861.41,243.59,12.095,NaN
11.179,850.48,240.42,12.422,NaN
11.465,837.11,236.2,12.737,NaN
11.823,820.12,230.39,13.033,NaN
12.3,797.22,221.93,13.3,NaN
12.8,773.02,212.39,13.522,NaN
13.3,748.73,202.36,13.629,NaN
13.8,724.42,192.02,13.674,NaN
14.3,700.09,181.46,13.693,NaN
14.8,675.77,170.76,13.702,NaN
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=14.801 seconds
15.3,651.45,159.96,13.705,NaN
15.317,650.65,159.6,55.684,NaN
15.335,649.81,159.2,51.992,NaN
15.355,648.91,158.77,48.426,NaN
15.378,647.95,158.28,44.988,NaN
15.403,646.92,157.74,41.676,NaN
15.431,645.81,157.13,38.49,NaN
15.463,644.58,156.42,35.431,NaN
15.5,643.23,155.61,32.499,NaN
15.544,641.72,154.66,29.694,NaN
15.596,639.98,153.52,27.015,NaN
15.661,637.94,152.1,24.463,NaN
15.745,635.45,150.27,22.037,NaN
15.861,632.19,147.73,19.738,NaN
16.041,627.41,143.78,17.566,NaN
16.424,617.91,135.39,15.522,NaN
16.924,605.87,124.4,13.605,NaN
17.424,593.82,113.41,13.727,NaN
17.924,581.77,102.41,13.687,NaN
18.424,569.72,91.409,13.7,NaN
18.924,557.68,80.41,13.696,NaN
19.424,545.63,69.412,13.697,NaN
19.924,533.59,58.413,13.697,NaN
20.424,521.56,47.414,13.697,NaN
20.924,509.52,36.415,13.697,NaN
21.424,497.49,25.416,13.697,NaN
21.924,485.45,14.418,13.697,NaN
22.424,473.42,3.4192,13.697,NaN
22.924,461.4,7.5806,13.697,NaN
23.424,449.37,18.579,13.697,NaN
23.924,437.35,29.578,13.697,NaN
24.424,425.33,40.577,13.697,NaN
24.924,413.31,51.576,13.697,NaN
25.424,401.29,62.575,13.697,NaN
25.924,389.27,73.573,13.697,NaN
