# Simulation 6 (Up to date)
# 317 data points written for 5 variables.
#
# Time (s),Altitude (ft),Lateral distance (ft),Drag force (N),Drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,0.51866
0.01,0.0019478,0,8.9985e-7,0.51864
0.02,0.013752,0,1.1155e-4,0.51834
0.03,0.042652,0,7.6241e-4,0.51749
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.089993,0,0.0023627,0.51613
0.05,0.1557,0,0.0051539,0.51436
0.06,0.23958,0,0.0093045,0.51225
0.07,0.3415,0,0.014909,0.50986
0.08,0.46136,0,0.021998,0.50726
0.09,0.59906,0,0.030555,0.50454
0.1,0.7545,0,0.040535,0.50172
0.11,0.9276,0,0.051895,0.49887
0.12,1.1183,0,0.064654,0.49599
0.13,1.3268,0,0.078775,0.49312
0.14,1.5529,0,0.094206,0.49026
0.15,1.7969,0,0.1109,0.48745
0.16,2.0588,0,0.12879,0.48469
0.17,2.3385,0,0.14784,0.48199
0.18,2.6363,0,0.16799,0.47936
0.19,2.9521,0,0.18969,0.47801
0.2,3.286,0,0.21311,0.47802
0.21,3.638,0,0.23775,0.47803
0.22,4.0083,0,0.2636,0.47804
0.23,4.3969,0,0.29064,0.47806
0.24,4.8039,0,0.31883,0.47807
0.25,5.2294,0,0.34816,0.47808
0.26,5.6734,0,0.37861,0.4781
# Event LAUNCHROD occurred at t=0.27 seconds
0.27,6.136,0,0.41016,0.47811
0.285,6.8649,0.0011799,0.45915,0.47814
0.3075,8.0366,0.0074565,0.536,0.47817
0.34125,9.9709,0.027222,0.6591,0.47823
0.37094,11.849,0.054601,0.77433,0.4783
0.39926,13.795,0.088505,0.88431,0.47836
0.42676,15.828,0.12741,0.98786,0.47842
0.45391,17.976,0.16994,1.0885,0.4785
0.48119,20.275,0.21472,1.1865,0.47857
0.50921,22.783,0.26019,1.2845,0.47866
0.53881,25.593,0.30416,1.3875,0.47875
0.57143,28.882,0.34258,1.5049,0.47886
0.61018,33.049,0.36585,1.6521,0.479
0.66018,38.84,0.34137,1.8798,0.47919
0.71018,45.09,0.23041,2.1673,0.4794
0.76018,51.786,0.0060324,2.5211,0.47962
0.79526,56.746,0.23359,2.7961,0.47978
0.81997,60.363,0.44838,2.9951,0.47989
0.84067,63.473,0.65991,3.1637,0.47999
0.8591,66.303,0.8739,3.3134,0.48008
0.87609,68.961,1.0932,3.4488,0.48017
0.89211,71.509,1.3197,3.5732,0.48025
0.90746,73.991,1.5552,3.689,0.48033
0.9224,76.441,1.8015,3.7979,0.4804
0.93709,78.885,2.0606,3.9013,0.48048
0.95171,81.352,2.3349,4.0005,0.48055
0.96645,83.87,2.6278,4.0967,0.48063
0.9815,86.478,2.9438,4.1917,0.48071
0.99717,89.228,3.2903,4.2874,0.48079
1.0138,92.192,3.678,4.387,0.48088
1.0321,95.491,4.1252,4.4953,0.48097
1.0531,99.352,4.6677,4.622,0.48109
1.0797,104.33,5.3933,4.7912,0.48123
1.1196,112,6.5558,5.079,0.48145
1.1696,121.94,8.1182,5.5054,0.48173
1.1995,128.04,9.0963,5.7782,0.48189
1.2195,132.22,9.7706,5.9567,0.482
1.2366,135.81,10.35,6.0964,0.48208
1.2521,139.1,10.883,6.2096,0.48215
1.2667,142.23,11.39,6.293,0.48221
1.2809,145.29,11.885,6.3531,0.48225
1.295,148.35,12.378,6.3977,0.48229
1.3093,151.45,12.879,6.4279,0.48231
1.3242,154.69,13.401,6.4452,0.48234
1.34,158.16,13.959,6.4504,0.48235
1.3576,162.01,14.578,6.4466,0.48237
1.3784,166.56,15.309,6.4339,0.48238
1.406,172.61,16.281,6.4154,0.48238
1.4473,181.68,17.747,6.4062,0.48239
1.4973,192.64,19.543,6.4408,0.48239
1.5245,198.6,20.532,6.4616,0.48239
1.5454,203.19,21.304,6.4684,0.48238
1.5642,207.29,22,6.4649,0.48238
1.582,211.18,22.666,6.4523,0.48237
1.5996,215.01,23.327,6.4311,0.48235
1.6175,218.9,24.005,6.4025,0.48234
1.6363,222.99,24.724,6.3679,0.48232
1.6571,227.49,25.519,6.3263,0.48231
1.6815,232.78,26.461,6.2679,0.48228
# Event BURNOUT occurred at t=1.7145 seconds
1.7145,239.88,27.737,6.171,0.48223
1.7641,250.44,29.647,6.0445,0.48214
1.8141,260.99,31.563,5.9459,0.48206
1.8465,267.76,32.793,5.8846,0.482
1.872,273.07,33.756,5.8321,0.48196
1.8954,277.91,34.631,5.7791,0.48192
1.9183,282.62,35.484,5.7222,0.48189
1.9418,287.45,36.355,5.6593,0.48185
1.9675,292.69,37.299,5.5877,0.48181
1.9978,298.83,38.404,5.5028,0.48176
2.0395,307.22,39.917,5.3926,0.48169
2.0895,317.18,41.718,5.2795,0.48162
2.1395,327.04,43.515,5.1836,0.48154
2.185,335.91,45.149,5.0991,0.48147
2.2187,342.41,46.359,5.0324,0.48142
2.25,348.42,47.488,4.9654,0.48138
2.282,354.51,48.643,4.8928,0.48133
2.3175,361.22,49.926,4.8096,0.48128
2.3626,369.65,51.553,4.706,0.48122
2.4126,378.9,53.356,4.6007,0.48115
2.4626,388.05,55.152,4.5076,0.48108
2.5126,397.1,56.936,4.4214,0.48101
2.5626,406.05,58.705,4.3341,0.48095
2.6046,413.49,60.179,4.2564,0.48089
2.6462,420.79,61.628,4.1754,0.48084
2.6929,428.91,63.242,4.0824,0.48078
2.7429,437.5,64.957,3.9853,0.48072
2.7929,445.99,66.662,3.8948,0.48065
2.8429,454.38,68.36,3.8115,0.48059
2.8929,462.67,70.054,3.7325,0.48053
2.9429,470.86,71.747,3.6539,0.48048
2.9929,478.94,73.439,3.5731,0.48042
3.0429,486.93,75.132,3.4899,0.48036
