# L1420-FRR (Up to date)
# 715 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (67 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,6.188e-5,0.012,1.243,0,0,0,NaN,1.435
0.02,0.004,0.693,68.112,0,0,0,NaN,0.939
0.03,0.017,2.043,135.01,0,0,0,NaN,0.742
0.04,0.048,4.057,201.374,0,0,0,NaN,0.652
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.1,6.354,229.77,0,0,0,NaN,0.604
0.06,0.175,8.705,235.173,0,0,0,NaN,0.575
0.07,0.274,11.11,240.58,0,0,0,NaN,0.554
0.08,0.398,13.569,245.99,0,0,0,NaN,0.537
0.09,0.546,16.083,251.404,0,0,0,NaN,0.524
0.1,0.72,18.65,256.822,0,0,0,NaN,0.514
0.11,0.919,21.272,262.244,0,0,0,NaN,0.505
0.12,1.145,23.948,267.669,0,0,0,NaN,0.497
0.13,1.398,26.667,271.99,0,0,0,NaN,0.49
0.14,1.679,29.389,272.271,0,0,0,NaN,0.483
0.15,1.986,32.111,272.182,0,0,0,NaN,0.478
0.16,2.321,34.831,272.093,0,0,0,NaN,0.473
0.17,2.683,37.55,272.002,0,0,0,NaN,0.469
0.18,3.072,40.269,271.91,0,0,0,NaN,0.465
0.19,3.488,42.986,271.815,0,0,0,NaN,0.464
0.2,3.932,45.703,271.718,0,0,0,NaN,0.464
0.21,4.402,48.418,271.62,0,0,0,NaN,0.464
0.22,4.9,51.133,271.52,0,0,0,NaN,0.464
0.23,5.425,53.846,271.419,0,0,0,NaN,0.464
0.24,5.977,56.559,271.316,0,0,0,NaN,0.464
0.25,6.556,59.27,271.212,0,0,0,NaN,0.464
0.26,7.162,61.981,271.106,0,0,0,NaN,0.464
0.27,7.796,64.69,270.999,0,0,0,NaN,0.465
0.28,8.456,67.398,270.889,0,0,0,NaN,0.465
0.29,9.143,70.106,270.779,0,0,0,NaN,0.465
0.3,9.858,72.812,270.667,0,0,0,NaN,0.465
# Event LAUNCHROD occurred at t=0.31 seconds
0.31,10.6,75.517,270.553,0,0,0,NaN,0.465
0.325,11.763,79.572,270.436,8.463e-7,-180,1.139e-4,2.306,0.465
0.348,13.622,85.65,270.255,5.436e-6,-180,2.964e-4,2.311,0.465
0.381,16.666,94.757,269.969,2.036e-5,-180,5.918e-4,2.319,0.465
0.431,21.74,108.221,269.508,6.187e-5,-180,0.001,2.332,0.465
