# L1420 (Up to date)
# 680 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (96.3 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (?),Drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-2.8127,0,0,0,NaN,1.3008
0.01,0,0,55.924,0,0,0,NaN,1.3008
0.02,0.0027968,0.55938,114.69,0,0,0,NaN,0.94513
0.03,0.014126,1.7065,172.98,0,0,0,NaN,0.73084
0.04,0.039841,3.4366,197.86,0,0,0,NaN,0.63768
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.084103,5.4158,202.57,0,0,0,NaN,0.58862
0.06,0.14839,7.4423,207.3,0,0,0,NaN,0.55858
0.07,0.23318,9.5162,212.04,0,0,0,NaN,0.5374
0.08,0.33895,11.637,216.78,0,0,0,NaN,0.52126
0.09,0.46617,13.806,221.53,0,0,0,NaN,0.50833
0.1,0.61531,16.022,226.28,0,0,0,NaN,0.49761
0.11,0.78685,18.286,231.03,0,0,0,NaN,0.48849
0.12,0.98126,20.597,234.8,0,0,0,NaN,0.48058
0.13,1.199,22.946,235.03,0,0,0,NaN,0.47364
0.14,1.4402,25.297,234.94,0,0,0,NaN,0.46756
0.15,1.7049,27.648,234.85,0,0,0,NaN,0.46217
0.16,1.9931,29.997,234.76,0,0,0,NaN,0.45734
0.17,2.3049,32.346,234.67,0,0,0,NaN,0.45298
0.18,2.64,34.693,234.58,0,0,0,NaN,0.44902
0.19,2.9987,37.04,234.48,0,0,0,NaN,0.44538
0.2,3.3808,39.386,234.39,0,0,0,NaN,0.44203
0.21,3.7864,41.73,234.29,0,0,0,NaN,0.4414
0.22,4.2154,44.074,234.2,0,0,0,NaN,0.44141
0.23,4.6679,46.417,234.1,0,0,0,NaN,0.44143
0.24,5.1438,48.759,234,0,0,0,NaN,0.44146
0.25,5.6431,51.1,233.9,0,0,0,NaN,0.44148
0.26,6.1658,53.44,233.8,0,0,0,NaN,0.4415
0.27,6.7119,55.779,233.69,0,0,0,NaN,0.44152
0.28,7.2813,58.116,233.59,0,0,0,NaN,0.44155
0.29,7.8742,60.453,233.49,0,0,0,NaN,0.44158
0.3,8.4904,62.789,233.38,0,0,0,NaN,0.4416
0.31,9.13,65.124,233.27,0,0,0,NaN,0.44163
0.32,9.7929,67.457,233.17,0,0,0,NaN,0.44166
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.479,69.79,233.06,0,0,0,3.2464,0.44169
0.345,11.552,73.287,232.82,7.8103e-7,-180,1.0503e-4,3.2497,0.44174
0.3675,13.26,78.527,232.44,5.0071e-6,-180,2.7264e-4,3.2548,0.44181
0.40125,16.043,86.376,231.88,1.8711e-5,-180,5.4301e-4,3.2625,0.44193
0.45125,20.652,97.98,231.03,5.6741e-5,-180,9.8686e-4,3.274,0.44214
0.50125,25.84,109.55,231.36,1.1825e-4,-180,0.0014818,3.2877,0.44236
0.55125,31.607,121.14,232.7,2.0574e-4,-180,0.0020261,3.3016,0.44261
0.60125,37.955,132.79,234.02,3.2166e-4,-180,0.0026182,3.3157,0.44289
0.65125,44.888,144.51,235.33,4.6834e-4,-180,0.0032591,3.3299,0.4432
0.70125,52.408,156.3,236.61,6.4859e-4,179.99,0.0039632,3.3443,0.44353
0.75125,60.519,168.14,237.88,8.661e-4,179.98,0.0047516,3.3589,0.4439
0.80125,69.224,180.06,239.13,0.0011252,179.95,0.0056297,3.3736,0.44429
0.85125,78.526,192.03,240.35,0.0014309,179.91,0.0066147,3.3885,0.44471
0.90125,88.428,204.06,241.55,0.0017888,179.86,0.0077266,3.4036,0.44516
0.95125,98.934,216.16,242.74,0.002206,179.81,0.008988,3.4188,0.44564
1.0013,110.05,228.31,244.23,0.0026905,179.75,0.010421,3.4343,0.44614
1.0513,121.77,240.53,245.95,0.0032513,179.69,0.012043,3.4502,0.44669
1.1013,134.1,252.85,247.66,0.0038984,179.65,0.013874,3.4666,0.44726
1.1513,147.05,265.24,249.34,0.0046423,179.62,0.015914,3.4831,0.44787
1.2013,160.63,277.72,251.01,0.0054933,179.6,0.018159,3.4998,0.44851
1.2513,174.83,290.29,252.65,0.0064615,179.58,0.020599,3.5167,0.44918
1.3013,189.66,302.93,254.26,0.0075562,179.56,0.02321,3.5338,0.44989
1.3513,205.12,315.66,255.84,0.0087853,179.53,0.025977,3.5511,0.45063
1.4013,221.23,328.46,257.4,0.010156,179.5,0.028883,3.5686,0.45141
1.4513,237.97,341.34,258.93,0.011676,179.46,0.031928,3.5863,0.45223
1.5013,255.36,354.3,258.7,0.013351,179.41,0.03512,3.6042,0.45308
1.5513,273.4,367.24,256.97,0.01519,179.36,0.038432,3.6223,0.45396
1.6013,292.08,380.1,255.19,0.017196,179.3,0.04185,3.6406,0.45487
1.6513,311.41,392.86,253.39,0.019376,179.24,0.045371,3.659,0.45581
1.7013,331.37,405.54,251.55,0.021735,179.18,0.04902,3.6776,0.45676
1.7513,351.96,418.12,249.67,0.024281,179.14,0.052817,3.6964,0.45774
1.8013,373.18,430.61,247.76,0.027019,179.1,0.056757,3.7153,0.45875
1.8513,395.02,443,245.81,0.029958,179.08,0.060848,3.7344,0.45978
1.9013,417.48,455.3,243.83,0.033106,179.06,0.065106,3.7536,0.46082
1.9513,440.55,467.49,241.82,0.036472,179.04,0.069548,3.773,0.46189
2.0013,464.22,479.58,238.99,0.040063,179.03,0.074131,3.7926,0.46298
2.0513,488.5,491.53,235.3,0.043887,179.02,0.078834,3.8117,0.46408
