# L1420-15mph (Up to date)
# 766 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (98.7 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.407e-4,-0.028,-2.81,0,0,0,NaN,0.476
0.02,0.003,0.559,55.95,0,0,0,NaN,0.476
0.03,0.014,1.707,114.731,0,0,0,NaN,0.476
0.04,0.04,3.437,173.041,0,0,0,NaN,0.476
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.084,5.416,197.981,0,0,0,NaN,0.474
0.06,0.148,7.443,202.716,0,0,0,NaN,0.473
0.07,0.233,9.517,207.453,0,0,0,NaN,0.471
0.08,0.339,11.638,212.193,0,0,0,NaN,0.469
0.09,0.466,13.807,216.936,0,0,0,NaN,0.466
0.1,0.615,16.023,221.681,0,0,0,NaN,0.463
0.11,0.787,18.287,226.428,0,0,0,NaN,0.46
0.12,0.981,20.599,231.177,0,0,0,NaN,0.457
0.13,1.199,22.948,234.954,0,0,0,NaN,0.454
0.14,1.44,25.299,235.183,0,0,0,NaN,0.451
0.15,1.705,27.649,235.087,0,0,0,NaN,0.448
0.16,1.993,29.999,234.99,0,0,0,NaN,0.445
0.17,2.305,32.347,234.891,0,0,0,NaN,0.442
0.18,2.64,34.694,234.791,0,0,0,NaN,0.441
0.19,2.999,37.041,234.689,0,0,0,NaN,0.441
0.2,3.381,39.386,234.586,0,0,0,NaN,0.441
0.21,3.787,41.731,234.482,0,0,0,NaN,0.441
0.22,4.216,44.074,234.376,0,0,0,NaN,0.441
0.23,4.668,46.416,234.269,0,0,0,NaN,0.441
0.24,5.144,48.757,234.162,0,0,0,NaN,0.442
0.25,5.643,51.097,234.053,0,0,0,NaN,0.442
0.26,6.166,53.436,233.943,0,0,0,NaN,0.442
0.27,6.712,55.774,233.832,0,0,0,NaN,0.442
0.28,7.281,58.111,233.72,0,0,0,NaN,0.442
0.29,7.874,60.447,233.607,0,0,0,NaN,0.442
0.3,8.49,62.781,233.493,0,0,0,NaN,0.442
0.31,9.13,65.114,233.378,0,0,0,NaN,0.442
0.32,9.793,67.447,233.262,0,0,0,NaN,0.442
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.479,69.778,233.145,0,0,0,NaN,0.442
0.345,11.552,73.272,233.02,5.832e-4,-180,0.078,1.917,0.442
0.368,13.259,78.509,232.831,0.004,-180,0.197,1.984,0.442
0.401,16.041,86.353,232.549,0.013,-180,0.373,2.081,0.442
0.451,20.649,97.95,232.126,0.038,-180,0.61,2.219,0.442
0.501,25.835,109.517,231.529,0.073,-180,0.786,2.355,0.442
0.551,31.601,121.1,231.86,0.115,-179.999,0.858,2.492,0.443
0.601,37.947,132.75,233.177,0.157,-179.999,0.78,2.636,0.443
0.651,44.877,144.465,234.41,0.19,-179.999,0.502,2.788,0.443
0.701,52.395,156.238,235.506,0.203,-179.998,0.026,2.951,0.444
0.751,60.502,168.061,236.41,0.182,-179.997,0.85,3.125,0.444
0.801,69.202,179.923,237.071,0.112,-179.992,2.011,3.311,0.444
0.851,78.495,191.812,237.458,0.025,-0.045,3.539,3.504,0.445
0.901,88.384,203.713,237.566,0.248,-0.006,5.452,3.425,0.445
0.951,98.867,215.613,237.421,0.577,-0.003,7.754,3.302,0.446
1.001,109.945,227.501,237.146,1.03,-0.002,10.434,3.215,0.446
1.051,121.512,239.288,237.274,1.62,-0.001,13.429,3.164,0.447
1.089,130.762,248.327,237.89,2.176,-0.001,15.909,3.149,0.447
1.122,139.111,256.228,238.557,2.74,-8.472e-4,18.171,3.154,0.448
1.152,147.074,263.565,239.369,3.33,-6.832e-4,20.318,3.172,0.448
1.182,154.959,270.658,240.363,3.96,-5.43e-4,22.405,3.204,0.448
1.211,163.033,277.766,241.574,4.651,-4.154e-4,24.478,3.248,0.449
1.242,171.641,285.19,243.045,5.432,-2.92e-4,26.592,3.307,0.449
1.276,181.343,293.387,244.86,6.361,-1.645e-4,28.828,3.387,0.45
1.316,193.361,303.32,247.193,7.574,-1.905e-5,31.352,3.5,0.45
1.366,208.838,315.788,250.138,9.214,1.526e-4,34.171,3.658,0.451
1.416,224.943,328.409,253.066,10.985,3.187e-4,36.6,3.613,0.452
1.466,241.682,341.169,255.668,12.867,4.835e-4,38.635,3.523,0.453
1.504,254.967,351.047,257.541,14.376,6.095e-4,39.967,3.484,0.453
1.533,265.227,358.493,257.578,15.545,7.045e-4,40.873,3.475,0.454
1.559,274.538,365.1,256.732,16.607,7.895e-4,41.636,3.481,0.454
1.583,283.588,371.389,255.829,17.639,8.713e-4,42.355,3.501,0.455
1.608,292.847,377.691,254.812,18.695,9.544e-4,43.095,3.533,0.455
1.634,302.869,384.367,253.603,19.84,0.001,43.93,3.579,0.456
1.665,314.646,392.024,252.045,21.188,0.001,44.99,3.647,0.456
1.706,331.008,402.338,249.689,23.075,0.001,46.651,3.755,0.457
1.756,351.435,414.704,246.388,25.466,0.001,49.069,3.764,0.458
1.806,372.475,426.893,242.865,27.989,0.002,51.916,3.691,0.459
1.837,385.939,434.426,240.572,29.642,0.002,53.868,3.669,0.46
1.862,396.89,440.419,239.176,31.011,0.002,55.486,3.669,0.46
1.885,407.161,445.941,238.213,32.314,0.002,56.998,3.682,0.461
1.909,417.534,451.432,237.541,33.649,0.002,58.491,3.707,0.461
1.933,428.804,457.308,237.104,35.12,0.002,60.047,3.747,0.462
1.963,442.404,464.29,236.876,36.918,0.002,61.796,3.807,0.462
2.007,463.189,474.751,236.802,39.707,0.002,64.142,3.914,0.463
2.057,487.22,486.498,235.316,42.971,0.002,66.338,3.845,0.464
2.097,506.621,495.689,232.827,45.62,0.002,67.774,3.813,0.465
2.122,519.32,501.564,230.701,47.357,0.003,68.612,3.81,0.466
2.145,530.953,506.848,228.882,48.949,0.003,69.35,3.823,0.466
2.169,542.804,512.132,226.928,50.57,0.003,70.108,3.848,0.467
2.194,556.18,517.976,224.595,52.403,0.003,71.007,3.889,0.467
2.229,574.123,525.612,221.345,54.867,0.003,72.338,3.957,0.468
2.279,600.676,536.491,216.423,58.539,0.003,74.631,3.963,0.469
2.329,627.766,547.096,211.269,62.336,0.003,77.303,3.926,0.471
2.355,641.935,552.464,208.167,64.347,0.003,78.761,3.924,0.471
2.378,655.022,557.332,206.387,66.22,0.003,80.096,3.94,0.472
2.403,668.837,562.388,204.96,68.214,0.004,81.451,3.969,0.472
2.433,685.818,568.498,203.671,70.683,0.004,82.994,4.019,0.473
2.478,711.631,577.588,202.113,74.468,0.004,85.008,4.063,0.474
2.528,740.76,587.579,199.898,78.766,0.004,86.818,4.025,0.475
2.557,757.855,593.311,197.955,81.293,0.004,87.731,4.02,0.476
2.582,772.67,598.197,196.247,83.484,0.004,88.496,4.034,0.476
2.608,788.316,603.268,194.282,85.799,0.004,89.328,4.063,0.477
2.641,808.555,609.683,191.538,88.799,0.004,90.507,4.114,0.478
2.691,839.275,619.106,187.315,93.375,0.004,92.599,4.122,0.479
2.741,870.461,628.3,183.221,98.065,0.005,95.014,4.107,0.48
2.768,887.351,633.146,180.909,100.627,0.005,96.35,4.116,0.481
2.796,904.853,638.091,179.656,103.299,0.005,97.68,4.144,0.481
2.832,928.372,644.633,178.586,106.911,0.005,99.298,4.197,0.482
2.882,960.824,653.48,177.043,111.923,0.005,101.144,4.19,0.483
2.924,988.621,660.873,174.67,116.23,0.005,102.452,4.186,0.484
2.953,1007.507,665.623,166.891,119.158,0.005,103.269,4.201,0.485
2.985,1028.733,670.563,154.826,122.454,0.005,104.187,4.235,0.485
3.032,1060.829,676.291,117.32,127.45,0.006,105.516,4.259,0.486
3.082,1094.698,678.433,42.212,132.749,0.006,106.482,4.238,0.487
3.115,1116.682,677.76,-20.609,136.206,0.006,106.765,4.241,0.486
3.149,1139.739,676.08,-48.934,139.844,0.006,106.819,4.26,0.486
3.199,1173.468,673.068,-59.553,145.18,0.006,106.58,4.272,0.486
# Event BURNOUT occurred at t=3.24 seconds
