# L1420 (Up to date)
# 720 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (75.9 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (?),Drag coefficient (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-2.8127,0,0,0,NaN,0.45865
0.01,0,0,55.924,0,0,0,NaN,0.45865
0.02,0.0027968,0.55938,114.69,0,0,0,NaN,0.45864
0.03,0.014126,1.7065,172.98,0,0,0,NaN,0.45855
0.04,0.039841,3.4366,197.86,0,0,0,NaN,0.45825
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.084103,5.4158,202.57,0,0,0,NaN,0.45767
0.06,0.14839,7.4424,207.31,0,0,0,NaN,0.45683
0.07,0.23319,9.5163,212.05,0,0,0,NaN,0.45573
0.08,0.33895,11.638,216.79,0,0,0,NaN,0.4544
0.09,0.46617,13.806,221.53,0,0,0,NaN,0.45285
0.1,0.61531,16.022,226.28,0,0,0,NaN,0.45111
0.11,0.78686,18.286,231.03,0,0,0,NaN,0.44922
0.12,0.98127,20.597,234.8,0,0,0,NaN,0.44719
0.13,1.199,22.946,235.03,0,0,0,NaN,0.44508
0.14,1.4402,25.297,234.93,0,0,0,NaN,0.44293
0.15,1.7049,27.648,234.84,0,0,0,NaN,0.44138
0.16,1.9932,29.997,234.74,0,0,0,NaN,0.4414
0.17,2.3049,32.345,234.64,0,0,0,NaN,0.44141
0.18,2.64,34.692,234.54,0,0,0,NaN,0.44143
0.19,2.9987,37.039,234.44,0,0,0,NaN,0.44144
0.2,3.3808,39.384,234.33,0,0,0,NaN,0.44146
0.21,3.7864,41.728,234.23,0,0,0,NaN,0.44148
0.22,4.2154,44.071,234.12,0,0,0,NaN,0.4415
0.23,4.6678,46.413,234.01,0,0,0,NaN,0.44152
0.24,5.1436,48.754,233.9,0,0,0,NaN,0.44154
0.25,5.6429,51.094,233.79,0,0,0,NaN,0.44156
0.26,6.1655,53.433,233.68,0,0,0,NaN,0.44158
0.27,6.7115,55.771,233.57,0,0,0,NaN,0.44161
0.28,7.2809,58.107,233.45,0,0,0,NaN,0.44163
0.29,7.8737,60.443,233.34,0,0,0,NaN,0.44166
0.3,8.4898,62.777,233.22,0,0,0,NaN,0.44168
0.31,9.1292,65.11,233.1,0,0,0,NaN,0.44171
0.32,9.792,67.442,232.99,0,0,0,NaN,0.44174
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.478,69.772,232.87,0,0,0,1.4833,0.44177
0.345,11.551,73.266,232.6,8.5475e-4,-180,0.11459,1.5269,0.44182
0.3675,13.258,78.502,232.21,0.0054246,-180,0.29271,1.5914,0.44189
0.40125,16.04,86.343,231.62,0.019888,-180,0.56345,1.6867,0.44201
0.45125,20.647,97.933,230.76,0.057583,-180,0.93537,1.8262,0.44221
0.50125,25.832,109.49,231.1,0.11214,-180,1.2295,1.969,0.44244
0.55125,31.596,121.07,232.47,0.17835,-180,1.392,2.1172,0.44269
0.60125,37.94,132.71,233.79,0.24811,-180,1.3619,2.2749,0.44296
0.65125,44.868,144.41,234.98,0.31024,-180,1.0756,2.4457,0.44327
0.70125,52.383,156.17,235.98,0.3503,-180,0.46858,2.6326,0.44361
0.75125,60.486,167.98,236.67,0.35069,-180,0.52016,2.8376,0.44397
0.80125,69.181,179.81,236.99,0.29098,-180,1.943,3.0611,0.44437
0.85125,78.468,191.64,236.87,0.14844,-179.99,3.8379,3.3001,0.4448
0.90125,88.346,203.46,236.32,0.10109,-0.012353,6.2242,3.2705,0.44525
0.95125,98.813,215.24,235.34,0.48242,-0.0028314,9.1101,3.1084,0.44574
1.0012,109.87,226.96,234.45,1.0204,-0.0013487,12.484,2.9932,0.44625
1.0415,119.2,236.37,233.86,1.5835,-8.0514e-4,15.529,2.9352,0.44669
1.0734,126.86,243.81,233.56,2.1198,-5.2213e-4,18.121,2.91,0.44705
1.1013,133.74,250.31,233.52,2.6575,-3.3312e-4,20.491,2.9024,0.44737
1.1268,140.21,256.27,233.72,3.2093,-1.9098e-4,22.732,2.9074,0.44768
1.1509,146.46,261.91,234.15,3.784,-7.6094e-5,24.89,2.9226,0.44798
1.1743,152.64,267.38,234.8,4.39,2.1532e-5,27,2.9473,0.44827
1.1974,158.88,272.8,235.7,5.0372,1.079e-4,29.086,2.9813,0.44857
1.2207,165.3,278.31,236.85,5.7399,1.8704e-4,31.18,3.0253,0.44888
1.2449,172.11,284.05,238.3,6.5211,2.6235e-4,33.32,3.0812,0.44921
1.271,179.6,290.28,240.11,7.4193,3.3731e-4,35.562,3.1524,0.44958
1.3006,188.31,297.43,242.41,8.5104,4.1725e-4,38.007,3.2465,0.45
1.3382,199.64,306.56,245.53,9.991,5.1404e-4,40.899,3.3822,0.45056
1.3882,215.28,318.92,249.66,12.124,6.4221e-4,44.345,3.5481,0.45134
1.4382,231.54,331.47,253.33,14.417,7.7485e-4,47.29,3.4029,0.45215
1.4834,246.81,342.98,255.5,16.611,9.0314e-4,49.538,3.3167,0.45292
1.5102,256.09,349.85,255.79,17.954,9.8379e-4,50.712,3.291,0.45339
1.5328,264.03,355.61,255.46,19.107,0.0010548,51.629,3.2817,0.45379
1.5533,271.39,360.87,254.96,20.175,0.0011223,52.429,3.2842,0.45415
1.5729,278.5,365.86,254.34,21.209,0.0011891,53.175,3.2966,0.45451
1.5922,285.6,370.76,253.59,22.241,0.001257,53.911,3.3182,0.45486
1.6118,292.94,375.74,252.67,23.308,0.0013281,54.68,3.3495,0.45523
1.6326,300.8,380.99,251.53,24.453,0.0014049,55.532,3.3925,0.45562
1.6557,309.69,386.81,250.04,25.75,0.0014921,56.549,3.4511,0.45606
1.6839,320.69,393.84,247.91,27.363,0.0015999,57.914,3.5352,0.4566
1.7262,337.57,404.28,244.09,29.861,0.0017624,60.275,3.6774,0.45743
1.7762,358.09,416.42,239.33,32.956,0.0019516,63.58,3.5763,0.45843
1.8142,374.06,425.47,236.26,35.421,0.002091,66.431,3.5192,0.4592
1.8373,383.98,430.94,234.85,36.981,0.0021738,68.282,3.5041,0.45968
1.8572,392.58,435.6,233.7,38.352,0.0022434,69.909,3.5019,0.46009
1.8757,400.68,439.92,232.87,39.66,0.0023071,71.443,3.5098,0.46048
1.8938,408.69,444.14,232.29,40.969,0.0023686,72.944,3.527,0.46086
1.9123,416.96,448.45,231.96,42.335,0.0024308,74.459,3.5538,0.46126
1.9323,425.95,453.08,231.84,43.835,0.0024971,76.047,3.5923,0.46168
1.9553,436.46,458.44,231.93,45.61,0.0025735,77.807,3.6477,0.46218
1.9863,450.78,465.65,232.08,48.055,0.0026761,80.001,3.7349,0.46286
2.0328,472.67,476.47,230.74,51.842,0.0028328,82.869,3.7407,0.46389
2.0828,496.78,488.06,228.88,56.05,0.0030075,85.398,3.6682,0.465
2.1048,507.58,493.12,228.77,57.941,0.0030865,86.373,3.6613,0.4655
2.1238,517.01,497.48,227.64,59.593,0.0031556,87.18,3.6639,0.46592
2.142,526.06,501.6,226.29,61.18,0.0032218,87.937,3.6762,0.46633
2.1603,535.3,505.75,224.66,62.799,0.0032889,88.713,3.6982,0.46675
2.1801,545.35,510.19,222.64,64.562,0.0033613,89.583,3.7317,0.4672
2.2035,557.35,515.39,219.89,66.672,0.0034467,90.686,3.7823,0.46773
2.2376,575.07,522.85,215.27,69.797,0.0035696,92.481,3.869,0.46851
2.2876,601.48,533.51,208.19,74.495,0.0037445,95.558,3.8132,0.46965
2.3191,618.39,540.07,205.18,77.54,0.0038515,97.727,3.788,0.47037
2.3401,629.76,544.37,203.52,79.605,0.0039218,99.229,3.7863,0.47085
2.3589,640.05,548.2,202.1,81.487,0.0039844,100.59,3.7948,0.47128
2.3776,650.31,551.97,200.96,83.375,0.004046,101.92,3.8132,0.47171
2.3976,661.39,556,200.01,85.428,0.0041116,103.31,3.8431,0.47217
2.4215,674.76,560.8,199.12,87.922,0.0041899,104.89,3.8899,0.47272
2.4575,695.05,567.97,197.87,91.731,0.004307,107.03,3.9667,0.47355
2.5075,723.69,577.9,196.59,97.146,0.0044708,109.5,3.9008,0.4747
2.5339,739.04,583.12,196.29,100.06,0.0045578,110.63,3.8921,0.47531
2.5544,751.03,587.14,195.35,102.33,0.004625,111.46,3.8969,0.47578
2.5739,762.49,590.94,194.03,104.51,0.0046889,112.24,3.9121,0.47623
2.5944,774.7,594.93,192.25,106.83,0.0047566,113.09,3.9386,0.4767
2.6193,789.56,599.7,189.66,109.65,0.004839,114.2,3.9822,0.47728
2.6567,812.08,606.72,185.16,113.95,0.0049646,116.08,4.0325,0.47814
2.7067,842.64,615.9,179.45,119.83,0.0051378,119,3.9841,0.47929
2.7312,857.79,620.3,178.14,122.76,0.0052244,120.55,3.9854,0.47986
2.752,870.78,624.02,176.98,125.29,0.0052986,121.87,3.9969,0.48034
2.7732,884.04,627.77,176.12,127.89,0.0053736,123.19,4.0195,0.48083
2.7983,899.81,632.19,175.44,130.99,0.0054613,124.67,4.058,0.4814
2.8358,923.68,638.79,174.57,135.71,0.0055893,126.67,4.1041,0.48227
2.8858,955.84,647.54,172.24,142.1,0.0057556,128.88,4.0664,0.48341
2.9111,972.24,651.92,170.89,145.37,0.0058395,129.87,4.0723,0.48399
2.9332,986.72,655.71,163.57,148.25,0.0059137,130.73,4.0881,0.48449
2.9572,1002.5,659.62,153.56,151.4,0.0059953,131.65,4.1165,0.48501
2.9907,1024.7,664.68,118.77,155.83,0.006112,133.01,4.1688,0.4857
3.0407,1058,670.04,42.511,162.53,0.0062923,134.88,4.1446,0.48645
3.072,1079,671.35,-5.3524,166.76,0.0064071,135.7,4.1321,0.48665
3.0963,1095.4,671.33,-35.66,170.07,0.0064965,136.1,4.1413,0.48666
3.1228,1113.2,670.37,-50.859,173.68,0.0065927,136.24,4.1632,0.48655
3.1626,1139.8,668.32,-62.352,179.09,0.0067336,136.13,4.197,0.48629
3.2126,1173.1,665.19,-73.601,185.89,0.0069048,135.57,4.1526,0.48589
# Event BURNOUT occurred at t=3.2443 seconds
3.2443,1194.2,662.87,-76.442,190.18,0.0070113,135.03,4.1452,0.48558
3.2729,1213.1,660.69,-76.417,194.03,0.007107,134.54,4.1557,0.4853
3.3095,1237.2,657.88,-76.836,198.95,0.0072314,134,4.1854,0.48494
3.3595,1270,654.02,-77.518,205.63,0.0074054,133.51,4.1615,0.48445
3.4081,1301.7,650.25,-77.385,212.11,0.0075772,133.21,4.1438,0.48398
3.4418,1323.6,647.66,-76.619,216.6,0.0076956,133.01,4.1543,0.48366
3.4871,1352.8,644.22,-75.091,222.62,0.0078518,132.61,4.1878,0.48324
3.5371,1385,640.5,-73.564,229.24,0.0080207,131.98,4.1519,0.48277
3.5859,1416.1,636.93,-72.84,235.66,0.0081847,131.24,4.1424,0.48232
3.6269,1442.2,633.95,-72.863,241.02,0.0083226,130.66,4.1589,0.48195
3.6769,1473.8,630.3,-73.253,247.54,0.0084903,130.11,4.1688,0.4815
3.7269,1505.2,626.63,-73.368,254.04,0.0086553,129.73,4.1422,0.48106
3.7759,1535.9,623.04,-72.741,260.39,0.008813,129.41,4.1437,0.48063
3.8259,1566.9,619.44,-71.508,266.85,0.0089703,129.01,4.1687,0.4802
3.8759,1597.8,615.89,-70.267,273.29,0.009127,128.46,4.1495,0.47977
3.9259,1628.5,612.4,-69.505,279.7,0.0092865,127.81,4.1365,0.47935
3.9759,1659,608.93,-69.341,286.07,0.0094497,127.18,4.1482,0.47894
4.0259,1689.4,605.46,-69.503,292.42,0.009614,126.66,4.1613,0.47853
4.0759,1719.6,601.98,-69.535,298.74,0.0097753,126.26,4.1384,0.47812
4.1259,1749.6,598.52,-69.089,305.05,0.0099314,125.93,4.1352,0.47772
4.1759,1779.4,595.08,-68.19,311.33,0.010084,125.55,4.1511,0.47733
4.2259,1809.1,591.7,-67.182,317.6,0.010236,125.08,4.1476,0.47694
4.2759,1838.6,588.36,-66.422,323.84,0.010392,124.52,4.132,0.47655
4.3259,1867.9,585.05,-66.073,330.05,0.010553,123.95,4.1344,0.47617
4.3759,1897.1,581.75,-66.04,336.24,0.010717,123.44,4.1509,0.4758
4.4259,1926.1,578.44,-66.05,342.4,0.01088,123.02,4.1388,0.47542
4.4759,1955,575.15,-65.826,348.54,0.011039,122.67,4.1281,0.47506
