# L1420 (Up to date)
# 754 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (96.2 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.407e-4,-0.028,-2.81,0,0,0,NaN,1.301
0.02,0.003,0.559,55.949,0,0,0,NaN,0.945
0.03,0.014,1.707,114.731,0,0,0,NaN,0.731
0.04,0.04,3.437,173.04,0,0,0,NaN,0.638
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.084,5.416,197.979,0,0,0,NaN,0.589
0.06,0.148,7.443,202.713,0,0,0,NaN,0.559
0.07,0.233,9.517,207.451,0,0,0,NaN,0.537
0.08,0.339,11.638,212.192,0,0,0,NaN,0.521
0.09,0.466,13.807,216.935,0,0,0,NaN,0.508
0.1,0.615,16.023,221.682,0,0,0,NaN,0.498
0.11,0.787,18.287,226.432,0,0,0,NaN,0.488
0.12,0.981,20.599,231.185,0,0,0,NaN,0.481
0.13,1.199,22.948,234.967,0,0,0,NaN,0.474
0.14,1.44,25.299,235.201,0,0,0,NaN,0.468
0.15,1.705,27.65,235.111,0,0,0,NaN,0.462
0.16,1.993,29.999,235.02,0,0,0,NaN,0.457
0.17,2.305,32.348,234.928,0,0,0,NaN,0.453
0.18,2.64,34.696,234.835,0,0,0,NaN,0.449
0.19,2.999,37.043,234.742,0,0,0,NaN,0.445
0.2,3.381,39.389,234.648,0,0,0,NaN,0.442
0.21,3.787,41.734,234.552,0,0,0,NaN,0.441
0.22,4.216,44.078,234.455,0,0,0,NaN,0.441
0.23,4.668,46.421,234.356,0,0,0,NaN,0.441
0.24,5.144,48.763,234.257,0,0,0,NaN,0.441
0.25,5.643,51.104,234.157,0,0,0,NaN,0.441
0.26,6.166,53.444,234.056,0,0,0,NaN,0.442
0.27,6.712,55.783,233.954,0,0,0,NaN,0.442
0.28,7.282,58.121,233.851,0,0,0,NaN,0.442
0.29,7.875,60.458,233.746,0,0,0,NaN,0.442
0.3,8.491,62.794,233.641,0,0,0,NaN,0.442
0.31,9.131,65.129,233.535,0,0,0,NaN,0.442
0.32,9.794,67.463,233.428,0,0,0,NaN,0.442
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.48,69.795,233.32,0,0,0,NaN,0.442
0.345,11.553,73.293,233.206,7.811e-7,-180,1.05e-4,3.412,0.442
0.368,13.261,78.534,233.031,5.007e-6,-180,2.727e-4,3.417,0.442
0.401,16.044,86.385,232.76,1.871e-5,-180,5.431e-4,3.425,0.442
0.451,20.653,97.993,232.333,5.675e-5,-180,9.87e-4,3.438,0.442
0.501,25.842,109.569,231.718,1.183e-4,-180,0.001,3.45,0.442
0.551,31.611,121.161,232.029,2.058e-4,-180,0.002,3.463,0.443
0.601,37.96,132.82,233.353,3.217e-4,-179.999,0.003,3.476,0.443
0.651,44.894,144.545,234.659,4.684e-4,-179.999,0.003,3.489,0.443
0.701,52.416,156.334,235.945,6.488e-4,179.995,0.004,3.502,0.444
0.751,60.529,168.188,237.211,8.666e-4,179.979,0.005,3.515,0.444
0.801,69.236,180.104,238.456,0.001,179.953,0.006,3.529,0.444
0.851,78.541,192.082,239.68,0.001,179.92,0.007,3.543,0.445
0.901,88.446,204.121,240.882,0.002,179.881,0.008,3.556,0.445
0.951,98.954,216.219,242.061,0.002,179.843,0.009,3.57,0.446
1.001,110.069,228.376,243.222,0.003,179.81,0.01,3.584,0.446
1.051,121.794,240.608,244.717,0.003,179.778,0.012,3.599,0.447
1.101,134.132,252.926,246.427,0.004,179.747,0.014,3.614,0.447
1.151,147.088,265.328,248.113,0.005,179.713,0.016,3.63,0.448
1.201,160.667,277.815,249.775,0.005,179.674,0.018,3.645,0.449
1.251,174.872,290.384,251.412,0.006,179.636,0.02,3.66,0.449
1.301,189.707,303.035,253.022,0.008,179.607,0.023,3.676,0.45
1.351,205.177,315.765,254.606,0.009,179.59,0.026,3.692,0.451
1.401,221.286,328.574,256.161,0.01,179.583,0.029,3.708,0.451
1.451,238.037,341.46,257.688,0.012,179.585,0.032,3.724,0.452
1.501,255.434,354.422,259.182,0.013,179.59,0.035,3.741,0.453
1.551,273.479,367.372,258.922,0.015,179.595,0.038,3.758,0.454
1.601,292.169,380.234,257.153,0.017,179.596,0.042,3.774,0.455
1.651,311.5,393.006,255.348,0.019,179.586,0.045,3.791,0.456
1.701,331.467,405.687,253.508,0.022,179.559,0.048,3.809,0.457
1.751,352.066,418.276,251.633,0.024,179.518,0.052,3.826,0.458
1.801,373.293,430.769,249.723,0.027,179.466,0.055,3.843,0.459
1.851,395.141,443.166,247.779,0.03,179.409,0.059,3.861,0.46
1.901,417.607,455.465,245.801,0.033,179.356,0.063,3.879,0.461
1.951,440.685,467.664,243.79,0.036,179.317,0.068,3.897,0.462
2.001,464.371,479.762,241.745,0.039,179.299,0.072,3.915,0.463
2.051,488.658,491.716,238.833,0.043,179.299,0.077,3.932,0.464
2.101,513.538,503.483,235.088,0.047,179.31,0.082,3.949,0.465
2.151,539.002,515.062,231.314,0.051,179.32,0.087,3.967,0.466
2.201,565.04,526.452,227.512,0.056,179.322,0.091,3.984,0.467
2.251,591.643,537.651,223.683,0.061,179.318,0.096,4.002,0.469
2.301,618.8,548.657,219.828,0.065,179.315,0.101,4.019,0.47
2.351,646.504,559.47,215.95,0.071,179.317,0.106,4.037,0.471
