# L1420 (Up to date)
# 812 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (72.1 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.362e-4,-0.027,-2.721,0,0,0,NaN,1.301
0.02,0.003,0.562,56.218,0,0,0,NaN,0.944
0.03,0.014,1.714,115.178,0,0,0,NaN,0.73
0.04,0.04,3.45,173.665,0,0,0,NaN,0.637
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.084,5.436,198.68,0,0,0,NaN,0.588
0.06,0.149,7.47,203.429,0,0,0,NaN,0.558
0.07,0.234,9.552,208.181,0,0,0,NaN,0.537
0.08,0.34,11.68,212.936,0,0,0,NaN,0.521
0.09,0.468,13.857,217.695,0,0,0,NaN,0.508
0.1,0.618,16.081,222.456,0,0,0,NaN,0.498
0.11,0.79,18.353,227.221,0,0,0,NaN,0.489
0.12,0.985,20.672,231.989,0,0,0,NaN,0.482
0.13,1.203,23.029,235.782,0,0,0,NaN,0.476
0.14,1.446,25.389,236.017,0,0,0,NaN,0.47
0.15,1.711,27.748,235.927,0,0,0,NaN,0.465
0.16,2,30.105,235.836,0,0,0,NaN,0.461
0.17,2.313,32.462,235.744,0,0,0,NaN,0.457
0.18,2.65,34.818,235.651,0,0,0,NaN,0.453
0.19,3.01,37.173,235.557,0,0,0,NaN,0.45
0.2,3.393,39.527,235.463,0,0,0,NaN,0.447
0.21,3.8,41.881,235.366,0,0,0,NaN,0.446
0.22,4.231,44.233,235.269,0,0,0,NaN,0.446
0.23,4.685,46.584,235.171,0,0,0,NaN,0.447
0.24,5.162,48.934,235.071,0,0,0,NaN,0.447
0.25,5.664,51.283,234.971,0,0,0,NaN,0.447
0.26,6.188,53.632,234.869,0,0,0,NaN,0.447
0.27,6.736,55.979,234.767,0,0,0,NaN,0.447
0.28,7.308,58.325,234.663,0,0,0,NaN,0.447
0.29,7.903,60.67,234.559,0,0,0,NaN,0.447
0.3,8.521,63.014,234.453,0,0,0,NaN,0.447
0.31,9.163,65.357,234.347,0,0,0,NaN,0.447
0.32,9.828,67.699,234.239,0,0,0,NaN,0.447
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.517,70.04,234.131,0,0,0,NaN,0.447
0.345,11.594,73.549,234.016,7.838e-7,-180,1.054e-4,3.445,0.447
0.368,13.308,78.809,233.84,5.025e-6,-180,2.736e-4,3.45,0.447
0.401,16.101,86.687,233.567,1.878e-5,-180,5.449e-4,3.459,0.447
0.451,20.726,98.335,233.138,5.694e-5,-180,9.904e-4,3.471,0.447
0.501,25.933,109.951,232.518,1.187e-4,-180,0.001,3.484,0.447
0.551,31.721,121.583,232.828,2.065e-4,-180,0.002,3.496,0.448
0.601,38.093,133.282,234.154,3.228e-4,-179.999,0.003,3.509,0.448
0.651,45.051,145.047,235.46,4.7e-4,-179.999,0.003,3.523,0.448
0.701,52.599,156.877,236.747,6.509e-4,179.99,0.004,3.536,0.449
0.751,60.74,168.771,238.012,8.695e-4,179.966,0.005,3.549,0.449
0.801,69.478,180.727,239.257,0.001,179.936,0.006,3.563,0.449
0.851,78.814,192.745,240.479,0.001,179.91,0.007,3.577,0.45
0.901,88.754,204.824,241.679,0.002,179.898,0.008,3.591,0.45
0.951,99.298,216.962,242.856,0.002,179.897,0.009,3.605,0.451
1.001,110.451,229.159,244.014,0.003,179.911,0.011,3.619,0.451
1.051,122.216,241.43,245.506,0.003,179.939,0.012,3.634,0.452
1.101,134.596,253.787,247.214,0.004,179.983,0.014,3.649,0.452
1.151,147.597,266.23,248.898,0.005,-179.959,0.016,3.665,0.453
1.201,161.221,278.756,250.556,0.006,-179.894,0.018,3.68,0.454
1.251,175.474,291.364,252.188,0.007,-179.822,0.021,3.696,0.454
1.301,190.36,304.053,253.794,0.008,-179.742,0.023,3.712,0.455
1.351,205.882,316.822,255.372,0.009,-179.655,0.026,3.728,0.456
1.401,222.044,329.67,256.921,0.01,-179.564,0.029,3.744,0.457
1.451,238.851,342.594,258.441,0.012,-179.477,0.033,3.76,0.457
1.501,256.305,355.593,259.927,0.014,-179.402,0.036,3.777,0.458
1.551,274.41,368.58,259.654,0.015,-179.344,0.039,3.794,0.459
1.601,293.161,381.477,257.866,0.017,-179.302,0.043,3.811,0.46
