# L1420-10mph (Up to date)
# 813 data points written for 9 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (73.6 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Stability margin calibers (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.364e-4,-0.027,-2.725,0,0,0,NaN,0.504
0.02,0.003,0.562,56.205,0,0,0,NaN,0.504
0.03,0.014,1.713,115.157,0,0,0,NaN,0.503
0.04,0.04,3.45,173.636,0,0,0,NaN,0.502
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.084,5.436,198.648,0,0,0,NaN,0.499
0.06,0.149,7.469,203.396,0,0,0,NaN,0.496
0.07,0.234,9.55,208.147,0,0,0,NaN,0.492
0.08,0.34,11.678,212.9,0,0,0,NaN,0.488
0.09,0.468,13.855,217.655,0,0,0,NaN,0.484
0.1,0.618,16.078,222.413,0,0,0,NaN,0.479
0.11,0.79,18.349,227.173,0,0,0,NaN,0.475
0.12,0.985,20.668,231.935,0,0,0,NaN,0.47
0.13,1.203,23.025,235.723,0,0,0,NaN,0.466
0.14,1.445,25.384,235.953,0,0,0,NaN,0.462
0.15,1.711,27.742,235.857,0,0,0,NaN,0.459
0.16,2,30.099,235.761,0,0,0,NaN,0.455
0.17,2.313,32.455,235.663,0,0,0,NaN,0.452
0.18,2.649,34.81,235.564,0,0,0,NaN,0.449
0.19,3.009,37.165,235.465,0,0,0,NaN,0.446
0.2,3.392,39.518,235.364,0,0,0,NaN,0.446
0.21,3.799,41.87,235.261,0,0,0,NaN,0.446
0.22,4.23,44.221,235.158,0,0,0,NaN,0.447
0.23,4.684,46.571,235.054,0,0,0,NaN,0.447
0.24,5.161,48.92,234.949,0,0,0,NaN,0.447
0.25,5.662,51.268,234.843,0,0,0,NaN,0.447
0.26,6.187,53.615,234.736,0,0,0,NaN,0.447
0.27,6.734,55.961,234.63,0,0,0,NaN,0.447
0.28,7.306,58.305,234.522,0,0,0,NaN,0.447
0.29,7.901,60.649,234.414,0,0,0,NaN,0.447
0.3,8.519,62.992,234.304,0,0,0,NaN,0.447
